Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
Álex Abrines,SG,1.0,23.0,0.8271604938271605,0.073170731707317,0.1941747572815534,0.2083333333333333,0.393,0.3414634146341463,0.36,0.381,0.0618556701030927,0.0729166666666666,0.426,0.531,0.0652173913043478,0.0642201834862385,0.898,0.0697674418604651,0.0970873786407767,0.0921985815602837,0.0535714285714285,0.25,0.0166666666666666,0.087719298245614,0.3863636363636363,0.1898734177215189,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1,0.34655552672548,0.488,0.96
Quincy Acy,PF,2.0,26.0,0.22222222222222213,0.00609756097560975,0.13592233009708735,0.15833333333333324,0.3595,0.15853658536585363,0.19,0.2885,0.08247422680412364,0.10156249999999994,0.40700000000000003,0.43300000000000005,0.08695652173913039,0.1055045871559633,0.7105,0.10465116279069765,0.1844660194174757,0.1631205673758865,0.02678571428571425,0.1,0.04166666666666665,0.0789473684210526,0.37499999999999994,0.1376582278481012,5.85,0.471,0.477,0.27449999999999997,4.199999999999999,16.7,10.399999999999999,2.7,0.65,1.1,9.7,18.25,0.19999999999999998,0.25,0.5,-0.015500000000000007,-5.45,-2.15,-7.6000000000000005,0.0,0.09371756616502329,0.506,0.445
Arron Afflalo,SG,4.0,31.0,0.7407407407407407,0.5487804878048781,0.2912621359223301,0.2875,0.44,0.2439024390243902,0.25,0.411,0.2061855670103093,0.2291666666666666,0.457,0.514,0.1521739130434782,0.1376146788990825,0.892,0.0232558139534883,0.1844660194174757,0.1418439716312056,0.1160714285714285,0.15,0.0166666666666666,0.1228070175438596,0.3863636363636363,0.2658227848101265,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-2.1,-1.5,-3.6,-0.7,0.5202062791904516,0.585,2.3
Alexis Ajinça,C,5.0,28.0,0.4691358024691358,0.1829268292682926,0.2233009708737863,0.1916666666666666,0.5,0.0,0.01,0.0,0.2371134020618556,0.234375,0.511,0.5,0.0760869565217391,0.091743119266055,0.725,0.2790697674418604,0.3300970873786407,0.3191489361702128,0.0267857142857142,0.25,0.0999999999999999,0.1403508771929824,0.4545454545454545,0.1677215189873417,12.9,0.529,0.022,0.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,0.08,-4.0,0.7,-3.3,-0.2,0.1936299948105864,0.512,1.63
Cole Aldrich,C,6.0,28.0,0.7530864197530864,0.0,0.0679611650485436,0.0583333333333333,0.523,0.0,0.0,0.0,0.0721649484536082,0.0729166666666666,0.523,0.523,0.0217391304347826,0.036697247706422,0.682,0.186046511627907,0.1650485436893203,0.1773049645390071,0.0357142857142857,0.2,0.0666666666666666,0.0526315789473684,0.3181818181818181,0.0537974683544303,12.7,0.549,0.0,0.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2.3,1.5,-0.8,0.2,0.1743642968344577,0.512,-0.22
Lavoy Allen,PF,8.0,27.0,0.7407407407407407,0.0609756097560975,0.1262135922330097,0.1166666666666666,0.458,0.0,0.0,0.0,0.134020618556701,0.140625,0.461,0.458,0.0434782608695652,0.0458715596330275,0.697,0.3953488372093023,0.1844660194174757,0.2553191489361702,0.0803571428571428,0.15,0.0666666666666666,0.087719298245614,0.2954545454545454,0.0917721518987341,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,0.093,-1.5,-0.2,-1.7,0.1,0.2864880643487286,0.427,-2.91
Chris Andersen,C,11.0,38.0,0.1358024691358024,0.0,0.0776699029126213,0.075,0.409,0.0,0.03,0.0,0.0824742268041237,0.0833333333333333,0.474,0.409,0.0869565217391304,0.110091743119266,0.714,0.186046511627907,0.174757281553398,0.1843971631205674,0.0357142857142857,0.2,0.0999999999999999,0.0701754385964912,0.3863636363636363,0.0727848101265822,11.6,0.497,0.136,0.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.1,0.2,0.2,0.102,-4.7,2.2,-2.5,0.0,0.0394071094966268,0.622,5.23
Alan Anderson,SF,12.0,34.0,0.3580246913580246,0.0,0.0970873786407767,0.1125,0.375,0.1219512195121951,0.15,0.318,0.0515463917525773,0.0625,0.444,0.463,0.0434782608695652,0.0458715596330275,0.75,0.0232558139534883,0.0679611650485436,0.0567375886524822,0.0357142857142857,0.05,0.0,0.0350877192982456,0.2727272727272727,0.0917721518987341,5.0,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,0.02,-4.2,-1.9,-6.1,-0.3,0.1025882200311364,0.537,0.31
Justin Anderson,SF,13.0,23.0,0.4506172839506173,0.06097560975609755,0.2572815533980582,0.25416666666666665,0.43200000000000005,0.19512195121951215,0.27,0.2975,0.19587628865979376,0.17708333333333331,0.5385,0.498,0.14673913043478254,0.1559633027522935,0.7875000000000001,0.24418604651162795,0.2427184466019417,0.24468085106382975,0.08928571428571425,0.25,0.0499999999999999,0.16666666666666663,0.36363636363636354,0.2373417721518987,13.75,0.5425,0.442,0.2855,6.25,16.5,11.2,9.0,1.65,1.55,11.899999999999999,20.4,0.3,0.65,0.95,0.07550000000000001,-0.9,-0.5,-1.45,0.1,0.2042520757654385,0.561,2.115
Darrell Arthur,PF,20.0,28.0,0.4938271604938271,0.0853658536585365,0.2233009708737863,0.2166666666666666,0.442,0.3170731707317074,0.29,0.453,0.1030927835051546,0.125,0.429,0.565,0.0543478260869565,0.0458715596330275,0.864,0.1395348837209302,0.203883495145631,0.1914893617021277,0.0892857142857142,0.25,0.0833333333333333,0.1578947368421052,0.4318181818181817,0.2025316455696202,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.1,-0.2,-0.1,0.3,0.2116632070576025,0.646,3.04
