Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
1,Álex Abrines,SG,24,OKC,0.9135802469135802,0.0975609756097561,0.14285714285714285,0.1848341232227488,.395,0.2619047619047619,0.29,.380,0.04123711340206186,0.05202312138728324,.443,.540,0.0574712643678161,0.0594059405940594,0.848,0.058823529411764705,0.11009174311926605,0.09375,0.038834951456310676,0.20833333333333334,0.038461538461538464,0.06,0.425,0.15460526315789475,9.0,.567,.759,.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1.0,2.2,.094,-1.9,0.4,-1.5,0.1,0.3747590577934594,0.488,0.96
2,Quincy Acy,PF,27,BRK,0.8518518518518519,0.0975609756097561,0.18095238095238095,0.24644549763033174,.356,0.35714285714285715,0.42000000000000004,.349,0.04123711340206186,0.057803468208092484,.384,.496,0.08045977011494253,0.08910891089108912,0.817,0.11764705882352941,0.28440366972477066,0.23125,0.07766990291262135,0.20833333333333334,0.15384615384615385,0.18,0.525,0.19407894736842107,8.2,.525,.800,.164,3.1,17.1,10.0,6.0,1.2,1.6,13.3,14.4,-0.1,1.1,1.0,.036,-2.6,0.1,-2.5,-0.2,0.44967166519651086,0.549,1.03
3,Steven Adams,C,24,OKC,0.9259259259259259,0.926829268292683,0.5619047619047619,0.44549763033175355,.629,0.0,0.0,.000,0.6082474226804124,0.5375722543352601,.631,.629,0.24137931034482762,0.37623762376237624,0.559,1.0,0.36697247706422015,0.5625,0.11650485436893203,0.5,0.3846153846153846,0.33999999999999997,0.7,0.45723684210526316,20.6,.630,.003,.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3.0,9.7,.187,1.7,-0.6,1.1,2.0,0.8225358554673461,0.488,0.96
4,Bam Adebayo,C,20,MIA,0.8395061728395061,0.23170731707317074,0.23809523809523808,0.23222748815165878,.512,0.0,0.01,.000,0.2577319587628866,0.2774566473988439,.523,.512,0.21839080459770116,0.25742574257425743,0.721,0.33333333333333337,0.34862385321100914,0.34375,0.14563106796116504,0.20833333333333334,0.23076923076923075,0.2,0.5,0.22697368421052633,15.7,.570,.021,.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,2.3,1.9,4.2,.148,-1.1,0.7,-0.4,0.6,0.4527426573883498,0.537,-0.13
5,Arron Afflalo,SG,32,ORL,0.6419753086419753,0.036585365853658534,0.11428571428571428,0.14691943127962084,.401,0.11904761904761904,0.13,.386,0.07216494845360825,0.09826589595375722,.413,.485,0.04597701149425288,0.04950495049504951,0.846,0.019607843137254905,0.11009174311926605,0.075,0.058252427184466014,0.04166666666666667,0.07692307692307693,0.08,0.275,0.1118421052631579,5.8,.516,.432,.160,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,.009,-3.8,-1.5,-5.4,-0.6,0.2263713286941749,0.415,-2.39
6,Cole Aldrich,C,29,MIN,0.24691358024691357,0.0,0.01904761904761905,0.03317535545023696,.333,0.0,0.0,0,0.02061855670103093,0.040462427745664734,.333,.333,0.01149425287356322,0.0297029702970297,0.333,0.019607843137254905,0.055045871559633024,0.04375,0.009708737864077669,0.04166666666666667,0.0,0.0,0.125,0.019736842105263157,6.0,.340,.000,.400,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,-0.1,0.1,0.0,-0.013,-6.8,-0.7,-7.5,-0.1,0.01610637394230455,0.512,-0.22
7,LaMarcus Aldridge,C,32,SAS,0.9135802469135802,0.9146341463414634,0.8761904761904761,0.8530805687203791,.510,0.09523809523809523,0.12,.293,0.9072164948453609,0.9653179190751444,.526,.520,0.5172413793103449,0.5247524752475248,0.837,0.6470588235294118,0.47706422018348627,0.53125,0.1941747572815534,0.25,0.4615384615384615,0.3,0.525,0.7598684210526316,25.0,.570,.068,.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,.209,4.3,-0.4,3.9,3.7,0.8299846450390408,0.268,-9.82
8,Jarrett Allen,C,19,BRK,0.8765432098765432,0.3780487804878049,0.3142857142857143,0.2606635071090047,.589,0.023809523809523808,0.02,.333,0.3298969072164949,0.30635838150289013,.599,.596,0.18390804597701152,0.19801980198019803,0.776,0.3921568627450981,0.3119266055045871,0.3375,0.06796116504854369,0.16666666666666669,0.4615384615384615,0.22000000000000003,0.5,0.26973684210526316,17.5,.636,.038,.370,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,.141,-0.9,0.1,-0.8,0.5,0.4766571923290535,0.549,1.03
9,Kadeem Allen,PG,25,BOS,0.20987654320987653,0.012195121951219513,0.02857142857142857,0.05687203791469194,.273,0.0,0.06,.000,0.030927835051546393,0.03468208092485549,.545,.273,0.04597701149425288,0.04950495049504951,0.778,0.03921568627450981,0.03669724770642202,0.0375,0.06796116504854369,0.08333333333333334,0.038461538461538464,0.1,0.2,0.03618421052631579,2.6,.366,.500,.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-0.2,0.03623117383776014,0.695,6.38
10,Tony Allen,SF,36,NOP,0.25925925925925924,0.0,0.19047619047619047,0.19431279620853079,.484,0.047619047619047616,0.05,.333,0.18556701030927836,0.20809248554913296,.506,.505,0.0574712643678161,0.09900990099009901,0.524,0.17647058823529413,0.11009174311926605,0.13125,0.038834951456310676,0.20833333333333334,0.038461538461538464,0.18,0.55,0.15460526315789475,8.7,.514,.132,.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,.017,-5.2,-0.3,-5.5,-0.2,0.09258714757097584,0.512,1.63
11,Al-Farouq Aminu,PF,27,POR,0.8395061728395061,0.8170731707317073,0.3142857142857143,0.3981042654028436,.395,0.42857142857142855,0.49000000000000005,.369,0.15463917525773196,0.20231213872832368,.432,.503,0.10344827586206898,0.1188118811881188,0.738,0.27450980392156865,0.5688073394495413,0.475,0.11650485436893203,0.45833333333333337,0.23076923076923075,0.22000000000000003,0.5,0.305921052631579,12.0,.522,.582,.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,.097,-0.7,1.1,0.4,1.3,0.6860727237087131,0.402,-3.96
12,Justin Anderson,SF,24,PHI,0.4567901234567901,0.0,0.21904761904761902,0.25118483412322273,.431,0.21428571428571427,0.27,.330,0.1443298969072165,0.15028901734104047,.535,.515,0.08045977011494253,0.09900990099009901,0.737,0.13725490196078433,0.1651376146788991,0.15,0.06796116504854369,0.16666666666666669,0.07692307692307693,0.08,0.35,0.20394736842105265,13.0,.540,.510,.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,.115,-0.6,-0.3,-0.9,0.1,0.17338037832010195,0.659,4.37
13,Kyle Anderson,SF,24,SAS,0.9012345679012346,0.8170731707317073,0.29523809523809524,0.2796208530805687,.527,0.07142857142857142,0.08,.333,0.29896907216494845,0.29479768786127164,.556,.549,0.16091954022988506,0.19801980198019803,0.712,0.21568627450980396,0.3853211009174312,0.3375,0.2621359223300971,0.6666666666666667,0.3076923076923077,0.26,0.375,0.2598684210526316,15.9,.582,.130,.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,.151,-0.4,3.3,2.9,2.4,0.6542846875102094,0.268,-9.82
14,Ryan Anderson,PF,29,HOU,0.8024691358024691,0.6097560975609756,0.29523809523809524,0.3459715639810426,.431,0.47619047619047616,0.51,.386,0.12371134020618557,0.12138728323699421,.539,.568,0.12643678160919541,0.1386138613861386,0.774,0.27450980392156865,0.3302752293577982,0.3125,0.08737864077669903,0.16666666666666669,0.11538461538461538,0.12,0.475,0.305921052631579,12.6,.592,.706,.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,3.1,1.7,4.8,.132,0.9,-0.8,0.1,0.9,0.5714332385899572,0.268,-7.62
15,Ike Anigbogu,C,19,IND,0.12345679012345678,0.0,0.0380952380952381,0.037914691943127965,.444,0.0,0.0,0,0.04123711340206186,0.046242774566473986,.444,.444,0.0574712643678161,0.04950495049504951,0.833,0.09803921568627452,0.03669724770642202,0.05,0.0,0.04166666666666667,0.11538461538461538,0.04,0.025,0.039473684210526314,21.6,.558,.000,.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,0.1,0.0,0.1,.165,1.8,0.1,1.9,0.0,0.010029729818027378,0.427,-2.91
16,Giannis Antetokounmpo,PF,23,MIL,0.9135802469135802,0.9146341463414634,0.9428571428571428,0.886255924170616,.529,0.14285714285714285,0.19,.307,0.9587628865979383,0.9710982658959537,.554,.545,0.7471264367816093,0.8415841584158417,0.76,0.411764705882353,0.7339449541284403,0.625,0.4660194174757281,0.625,0.5384615384615384,0.6,0.775,0.8848684210526315,27.3,.598,.100,.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,.207,5.3,0.9,6.2,5.7,0.9117253095494788,0.707,3.61
17,Carmelo Anthony,PF,33,OKC,0.9506172839506173,0.9512195121951219,0.5809523809523809,0.7109004739336492,.404,0.5238095238095238,0.61,.357,0.4020618556701031,0.5144508670520231,.437,.476,0.21839080459770116,0.24752475247524752,0.767,0.17647058823529413,0.44954128440366975,0.3625,0.1262135922330097,0.25,0.23076923076923075,0.26,0.625,0.5328947368421053,12.7,.503,.406,.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,.071,-0.6,-1.3,-1.9,0.0,0.8269136528472018,0.488,0.96
18,OG Anunoby,SF,20,TOR,0.9012345679012346,0.7560975609756098,0.20952380952380953,0.22274881516587677,.471,0.23809523809523808,0.27,.371,0.12371134020618557,0.11560693641618497,.604,.577,0.0574712643678161,0.07920792079207921,0.629,0.11764705882352941,0.17431192660550457,0.15625,0.06796116504854369,0.2916666666666667,0.07692307692307693,0.12,0.45,0.19407894736842107,10.0,.587,.569,.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,1.4,1.6,3.0,.098,-1.2,0.6,-0.6,0.5,0.4897252442092195,0.5,1.59
19,Ryan Arcidiacono,PG,23,CHI,0.2839506172839506,0.0,0.06666666666666667,0.08056872037914692,.415,0.09523809523809523,0.13,.290,0.030927835051546393,0.023121387283236993,.800,.524,0.02298850574712644,0.0297029702970297,0.833,0.0,0.09174311926605504,0.0625,0.14563106796116504,0.20833333333333334,0.0,0.1,0.2,0.06578947368421052,7.3,.550,.756,.146,0.3,8.8,4.4,15.5,2.1,0.0,23.0,8.1,0.1,0.2,0.3,.040,-4.7,0.6,-4.1,-0.2,0.10281289816720572,0.488,1.37
20,Trevor Ariza,SF,32,HOU,0.8148148148148148,0.8170731707317073,0.38095238095238093,0.45971563981042646,.412,0.5952380952380952,0.6900000000000001,.368,0.15463917525773196,0.16184971098265893,.519,.542,0.12643678160919541,0.12871287128712872,0.854,0.09803921568627452,0.35779816513761464,0.275,0.1553398058252427,0.625,0.07692307692307693,0.16,0.5,0.3848684210526316,11.8,.567,.710,.137,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,2.6,2.8,5.3,.113,0.0,0.7,0.7,1.5,0.7517070142768467,0.268,-7.62
21,Darrell Arthur,PF,29,DEN,0.2222222222222222,0.012195121951219513,0.11428571428571428,0.11848341232227487,.468,0.09523809523809523,0.12,.348,0.07216494845360825,0.07514450867052024,.583,.553,0.01149425287356322,0.019801980198019802,0.667,0.03921568627450981,0.055045871559633024,0.05,0.04854368932038835,0.16666666666666669,0.07692307692307693,0.16,0.3,0.09210526315789473,8.4,.559,.489,.064,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0.0,-0.011,-4.8,-0.5,-5.3,-0.1,0.04782906988140743,0.646,3.04
22,Jamel Artis,SG,25,ORL,0.1728395061728395,0.012195121951219513,0.2,0.25118483412322273,.392,0.11904761904761904,0.19,.276,0.15463917525773196,0.1907514450867052,.460,.443,0.0574712643678161,0.07920792079207921,0.583,0.058823529411764705,0.2110091743119266,0.15625,0.11650485436893203,0.04166666666666667,0.07692307692307693,0.1,0.175,0.16776315789473684,6.9,.457,.367,.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,-0.1,0.1,0.0,-0.006,-3.8,-1.6,-5.4,-0.2,0.09657290339442648,0.415,-2.39
