Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
1,Álex Abrines,SG,24,OKC,0.9135802469135802,0.0975609756097561,0.14285714285714285,0.1848341232227488,.395,0.2619047619047619,0.29,.380,0.04123711340206186,0.05202312138728324,.443,.540,0.0574712643678161,0.0594059405940594,0.848,0.058823529411764705,0.11009174311926605,0.09375,0.038834951456310676,0.20833333333333334,0.038461538461538464,0.06,0.425,0.15460526315789475,9.0,.567,.759,.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1.0,2.2,.094,-1.9,0.4,-1.5,0.1,0.3747590577934594,0.488,0.96
2,Quincy Acy,PF,27,BRK,0.8518518518518519,0.0975609756097561,0.18095238095238095,0.24644549763033174,.356,0.35714285714285715,0.42000000000000004,.349,0.04123711340206186,0.057803468208092484,.384,.496,0.08045977011494253,0.08910891089108912,0.817,0.11764705882352941,0.28440366972477066,0.23125,0.07766990291262135,0.20833333333333334,0.15384615384615385,0.18,0.525,0.19407894736842107,8.2,.525,.800,.164,3.1,17.1,10.0,6.0,1.2,1.6,13.3,14.4,-0.1,1.1,1.0,.036,-2.6,0.1,-2.5,-0.2,0.44967166519651086,0.549,1.03
4,Bam Adebayo,C,20,MIA,0.8395061728395061,0.23170731707317074,0.23809523809523808,0.23222748815165878,.512,0.0,0.01,.000,0.2577319587628866,0.2774566473988439,.523,.512,0.21839080459770116,0.25742574257425743,0.721,0.33333333333333337,0.34862385321100914,0.34375,0.14563106796116504,0.20833333333333334,0.23076923076923075,0.2,0.5,0.22697368421052633,15.7,.570,.021,.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,2.3,1.9,4.2,.148,-1.1,0.7,-0.4,0.6,0.4527426573883498,0.537,-0.13
5,Arron Afflalo,SG,32,ORL,0.6419753086419753,0.036585365853658534,0.11428571428571428,0.14691943127962084,.401,0.11904761904761904,0.13,.386,0.07216494845360825,0.09826589595375722,.413,.485,0.04597701149425288,0.04950495049504951,0.846,0.019607843137254905,0.11009174311926605,0.075,0.058252427184466014,0.04166666666666667,0.07692307692307693,0.08,0.275,0.1118421052631579,5.8,.516,.432,.160,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,.009,-3.8,-1.5,-5.4,-0.6,0.2263713286941749,0.415,-2.39
6,Cole Aldrich,C,29,MIN,0.24691358024691357,0.0,0.01904761904761905,0.03317535545023696,.333,0.0,0.0,0,0.02061855670103093,0.040462427745664734,.333,.333,0.01149425287356322,0.0297029702970297,0.333,0.019607843137254905,0.055045871559633024,0.04375,0.009708737864077669,0.04166666666666667,0.0,0.0,0.125,0.019736842105263157,6.0,.340,.000,.400,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,-0.1,0.1,0.0,-0.013,-6.8,-0.7,-7.5,-0.1,0.01610637394230455,0.512,-0.22
9,Kadeem Allen,PG,25,BOS,0.20987654320987653,0.012195121951219513,0.02857142857142857,0.05687203791469194,.273,0.0,0.06,.000,0.030927835051546393,0.03468208092485549,.545,.273,0.04597701149425288,0.04950495049504951,0.778,0.03921568627450981,0.03669724770642202,0.0375,0.06796116504854369,0.08333333333333334,0.038461538461538464,0.1,0.2,0.03618421052631579,2.6,.366,.500,.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-0.2,0.03623117383776014,0.695,6.38
10,Tony Allen,SF,36,NOP,0.25925925925925924,0.0,0.19047619047619047,0.19431279620853079,.484,0.047619047619047616,0.05,.333,0.18556701030927836,0.20809248554913296,.506,.505,0.0574712643678161,0.09900990099009901,0.524,0.17647058823529413,0.11009174311926605,0.13125,0.038834951456310676,0.20833333333333334,0.038461538461538464,0.18,0.55,0.15460526315789475,8.7,.514,.132,.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,.017,-5.2,-0.3,-5.5,-0.2,0.09258714757097584,0.512,1.63
12,Justin Anderson,SF,24,PHI,0.4567901234567901,0.0,0.21904761904761902,0.25118483412322273,.431,0.21428571428571427,0.27,.330,0.1443298969072165,0.15028901734104047,.535,.515,0.08045977011494253,0.09900990099009901,0.737,0.13725490196078433,0.1651376146788991,0.15,0.06796116504854369,0.16666666666666669,0.07692307692307693,0.08,0.35,0.20394736842105265,13.0,.540,.510,.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,.115,-0.6,-0.3,-0.9,0.1,0.17338037832010195,0.659,4.37
15,Ike Anigbogu,C,19,IND,0.12345679012345678,0.0,0.0380952380952381,0.037914691943127965,.444,0.0,0.0,0,0.04123711340206186,0.046242774566473986,.444,.444,0.0574712643678161,0.04950495049504951,0.833,0.09803921568627452,0.03669724770642202,0.05,0.0,0.04166666666666667,0.11538461538461538,0.04,0.025,0.039473684210526314,21.6,.558,.000,.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,0.1,0.0,0.1,.165,1.8,0.1,1.9,0.0,0.010029729818027378,0.427,-2.91
17,Carmelo Anthony,PF,33,OKC,0.9506172839506173,0.9512195121951219,0.5809523809523809,0.7109004739336492,.404,0.5238095238095238,0.61,.357,0.4020618556701031,0.5144508670520231,.437,.476,0.21839080459770116,0.24752475247524752,0.767,0.17647058823529413,0.44954128440366975,0.3625,0.1262135922330097,0.25,0.23076923076923075,0.26,0.625,0.5328947368421053,12.7,.503,.406,.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,.071,-0.6,-1.3,-1.9,0.0,0.8269136528472018,0.488,0.96
18,OG Anunoby,SF,20,TOR,0.9012345679012346,0.7560975609756098,0.20952380952380953,0.22274881516587677,.471,0.23809523809523808,0.27,.371,0.12371134020618557,0.11560693641618497,.604,.577,0.0574712643678161,0.07920792079207921,0.629,0.11764705882352941,0.17431192660550457,0.15625,0.06796116504854369,0.2916666666666667,0.07692307692307693,0.12,0.45,0.19407894736842107,10.0,.587,.569,.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,1.4,1.6,3.0,.098,-1.2,0.6,-0.6,0.5,0.4897252442092195,0.5,1.59
19,Ryan Arcidiacono,PG,23,CHI,0.2839506172839506,0.0,0.06666666666666667,0.08056872037914692,.415,0.09523809523809523,0.13,.290,0.030927835051546393,0.023121387283236993,.800,.524,0.02298850574712644,0.0297029702970297,0.833,0.0,0.09174311926605504,0.0625,0.14563106796116504,0.20833333333333334,0.0,0.1,0.2,0.06578947368421052,7.3,.550,.756,.146,0.3,8.8,4.4,15.5,2.1,0.0,23.0,8.1,0.1,0.2,0.3,.040,-4.7,0.6,-4.1,-0.2,0.10281289816720572,0.488,1.37
21,Darrell Arthur,PF,29,DEN,0.2222222222222222,0.012195121951219513,0.11428571428571428,0.11848341232227487,.468,0.09523809523809523,0.12,.348,0.07216494845360825,0.07514450867052024,.583,.553,0.01149425287356322,0.019801980198019802,0.667,0.03921568627450981,0.055045871559633024,0.05,0.04854368932038835,0.16666666666666669,0.07692307692307693,0.16,0.3,0.09210526315789473,8.4,.559,.489,.064,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0.0,-0.011,-4.8,-0.5,-5.3,-0.1,0.04782906988140743,0.646,3.04
22,Jamel Artis,SG,25,ORL,0.1728395061728395,0.012195121951219513,0.2,0.25118483412322273,.392,0.11904761904761904,0.19,.276,0.15463917525773196,0.1907514450867052,.460,.443,0.0574712643678161,0.07920792079207921,0.583,0.058823529411764705,0.2110091743119266,0.15625,0.11650485436893203,0.04166666666666667,0.07692307692307693,0.1,0.175,0.16776315789473684,6.9,.457,.367,.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,-0.1,0.1,0.0,-0.006,-3.8,-1.6,-5.4,-0.2,0.09657290339442648,0.415,-2.39
23,Ömer Aşık,C,31,NOP,0.16049382716049382,0.0,0.047619047619047616,0.05213270142180095,.438,0.0,0.0,0,0.051546391752577324,0.06358381502890173,.438,.438,0.034482758620689655,0.08910891089108912,0.333,0.09803921568627452,0.1926605504587156,0.1625,0.009708737864077669,0.04166666666666667,0.038461538461538464,0.08,0.25,0.04276315789473684,4.5,.423,.000,.750,6.5,26.0,16.6,2.0,0.4,1.3,19.0,9.4,-0.1,0.1,0.0,.008,-5.6,-1.4,-7.0,-0.2,0.041687085497729426,0.512,1.63
24,D.J. Augustin,PG,30,ORL,0.9135802469135802,0.43902439024390244,0.3142857142857143,0.34123222748815163,.452,0.35714285714285715,0.36,.419,0.1752577319587629,0.20809248554913296,.485,.557,0.25287356321839083,0.24752475247524752,0.868,0.07843137254901962,0.15596330275229356,0.13125,0.3689320388349514,0.2916666666666667,0.0,0.32,0.325,0.3355263157894737,15.4,.615,.504,.350,1.9,8.2,5.0,24.4,1.5,0.0,16.5,18.6,3.3,0.8,4.1,.110,1.0,-1.2,-0.2,0.8,0.5820183606128916,0.415,-2.39
25,Luke Babbitt,SF,28,ATL,0.4444444444444444,0.10975609756097561,0.20952380952380953,0.21327014218009477,.476,0.30952380952380953,0.3,.441,0.08247422680412372,0.08670520231213873,.544,.622,0.0574712643678161,0.0594059405940594,0.773,0.019607843137254905,0.1926605504587156,0.1375,0.06796116504854369,0.08333333333333334,0.038461538461538464,0.08,0.325,0.2006578947368421,12.0,.636,.661,.131,1.0,14.9,7.9,7.0,0.6,0.8,7.8,14.8,0.9,0.3,1.1,.094,0.4,-1.1,-0.7,0.2,0.19059753667222057,0.5,0.32
26,Dwayne Bacon,SG,22,CHO,0.6419753086419753,0.07317073170731707,0.13333333333333333,0.17061611374407581,.375,0.047619047619047616,0.08,.256,0.12371134020618557,0.16184971098265893,.409,.404,0.04597701149425288,0.04950495049504951,0.8,0.019607843137254905,0.2110091743119266,0.14375,0.06796116504854369,0.125,0.0,0.08,0.225,0.10855263157894737,5.8,.431,.224,.130,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-0.007,-4.8,0.1,-4.7,-0.5,0.23669508967950603,0.329,-5.89
27,Ron Baker,SG,24,NYK,0.345679012345679,0.012195121951219513,0.06666666666666667,0.0947867298578199,.339,0.09523809523809523,0.11000000000000001,.333,0.030927835051546393,0.05202312138728324,.346,.432,0.08045977011494253,0.08910891089108912,0.769,0.03921568627450981,0.08256880733944955,0.0625,0.1553398058252427,0.375,0.07692307692307693,0.12,0.275,0.07894736842105263,9.3,.504,.559,.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10.0,0.1,0.4,0.5,.059,-2.8,2.4,-0.4,0.2,0.1294717240027443,0.573,2.99
28,Wade Baldwin,PG,21,POR,0.07407407407407407,0.0,0.19047619047619047,0.14218009478672985,.667,0.14285714285714285,0.06999999999999999,.800,0.1443298969072165,0.1329479768786127,.625,.762,0.10344827586206898,0.1386138613861386,0.6,0.019607843137254905,0.09174311926605504,0.06875,0.06796116504854369,0.125,0.038461538461538464,0.12,0.425,0.17763157894736845,16.6,.748,.238,.476,1.4,9.5,5.5,9.8,1.2,1.0,13.6,16.1,0.2,0.1,0.3,.187,0.2,1.7,1.9,0.1,0.02920709595217093,0.402,-3.96
32,Will Barton,SG,27,DEN,0.9876543209876543,0.4878048780487805,0.5428571428571429,0.6018957345971563,.452,0.45238095238095233,0.52,.370,0.3917525773195876,0.43352601156069365,.510,.528,0.25287356321839083,0.2772277227722772,0.805,0.17647058823529413,0.3853211009174312,0.3125,0.3980582524271844,0.4166666666666667,0.23076923076923075,0.36,0.525,0.5164473684210527,16.2,.562,.411,.220,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,.111,1.6,-0.4,1.1,2.1,0.8866999901989611,0.646,3.04
34,Jerryd Bayless,SG,29,PHI,0.4691358024691358,0.13414634146341464,0.26666666666666666,0.3175355450236967,.416,0.3333333333333333,0.37,.370,0.1443298969072165,0.17341040462427745,.474,.519,0.10344827586206898,0.10891089108910892,0.795,0.07843137254901962,0.15596330275229356,0.13125,0.13592233009708737,0.25,0.07692307692307693,0.24,0.575,0.2598684210526316,7.5,.546,.557,.168,1.8,7.3,4.7,8.0,1.2,0.5,14.1,15.1,0.2,0.9,1.1,.055,-2.7,-0.2,-2.8,-0.2,0.309288117873828,0.659,4.37
