Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP
1,Álex Abrines,SG,25,OKC,0.37037037037037035,0.024390243902439025,0.16666666666666666,0.20816326530612245,.357,0.25490196078431376,0.3106060606060606,.323,0.05376344086021505,0.06060606060606061,.500,.487,0.04123711340206186,0.03636363636363637,0.923,0.037037037037037035,0.12612612612612611,0.09615384615384616,0.056074766355140186,0.20833333333333334,0.07407407407407407,0.1,0.425,0.14681440443213295,6.3,.507,.809,.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,.053,-3.7,0.4,-3.3,-0.2,0.19752522119559893
2,Quincy Acy,PF,28,PHO,0.1111111111111111,0.0,0.037037037037037035,0.07346938775510205,.222,0.03921568627450981,0.11363636363636365,.133,0.02150537634408602,0.01818181818181818,.667,.278,0.07216494845360825,0.09090909090909091,0.7,0.05555555555555555,0.19819819819819823,0.16025641025641027,0.07476635514018692,0.04166666666666667,0.14814814814814814,0.08,0.6,0.047091412742382266,2.9,.379,.833,.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0.0,-0.1,-0.022,-7.6,-0.5,-8.1,-0.2,0.04352084625681544
3,Jaylen Adams,PG,22,ATL,0.4074074074074074,0.012195121951219513,0.10185185185185186,0.1306122448979592,.345,0.13725490196078433,0.16666666666666669,.338,0.04301075268817204,0.06666666666666667,.361,.459,0.02061855670103093,0.02727272727272727,0.778,0.05555555555555555,0.12612612612612611,0.11538461538461539,0.17757009345794392,0.16666666666666669,0.037037037037037035,0.16,0.325,0.0886426592797784,7.6,.474,.673,.082,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,-0.1,0.2,0.1,.011,-3.8,-0.5,-4.3,-0.2,0.14319762316758627
4,Steven Adams,C,25,OKC,0.9753086419753086,0.975609756097561,0.5555555555555555,0.4122448979591837,.595,0.0,0.0,.000,0.6451612903225806,0.6121212121212121,.596,.595,0.18556701030927836,0.33636363636363636,0.5,0.9074074074074074,0.4144144144144144,0.608974358974359,0.14953271028037385,0.625,0.37037037037037035,0.33999999999999997,0.65,0.3850415512465374,18.5,.591,.002,.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,5.1,4.0,9.1,.163,0.7,0.4,1.1,2.1,0.8816481112670999
5,Bam Adebayo,C,21,MIA,1.0,0.34146341463414637,0.31481481481481477,0.24081632653061225,.576,0.0,0.015151515151515154,.200,0.3655913978494623,0.34545454545454546,.588,.579,0.2061855670103093,0.2545454545454545,0.735,0.37037037037037035,0.4774774774774775,0.46794871794871795,0.20560747663551404,0.375,0.2962962962962963,0.3,0.625,0.24653739612188366,17.9,.623,.031,.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,3.4,3.4,6.8,.171,-0.4,2.2,1.8,1.8,0.6315256782787554
6,Deng Adel,SF,21,CLE,0.2222222222222222,0.036585365853658534,0.05555555555555555,0.07755102040816327,.306,0.058823529411764705,0.09090909090909091,.261,0.03225806451612903,0.04242424242424242,.385,.389,0.02061855670103093,0.018181818181818184,1.0,0.037037037037037035,0.07207207207207207,0.06410256410256411,0.028037383177570093,0.04166666666666667,0.07407407407407407,0.06,0.175,0.047091412742382266,2.7,.424,.639,.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,-0.2,0.0,-0.2,-0.054,-5.9,-1.6,-7.5,-0.3,0.06601586731528943
7,DeVaughn Akoon-Purcell,SG,25,DEN,0.07407407407407407,0.0,0.037037037037037035,0.05714285714285714,.300,0.0,0.045454545454545456,.000,0.04301075268817204,0.05454545454545455,.500,.300,0.010309278350515465,0.02727272727272727,0.5,0.018518518518518517,0.036036036036036036,0.038461538461538464,0.08411214953271029,0.125,0.0,0.06,0.15,0.027700831024930747,8.2,.322,.400,.200,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,-0.1,0.0,0.0,-0.051,-7.9,2.1,-5.8,0.0,0.007541872082013778
8,LaMarcus Aldridge,C,33,SAS,0.9876543209876543,0.9878048780487805,0.7777777777777778,0.6653061224489796,.519,0.019607843137254905,0.03787878787878788,.238,0.8924731182795699,0.9575757575757576,.528,.522,0.443298969072165,0.4636363636363636,0.847,0.5740740740740741,0.5495495495495495,0.5897435897435898,0.22429906542056074,0.20833333333333334,0.48148148148148145,0.36,0.55,0.590027700831025,22.9,.576,.032,.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,.167,2.4,-0.6,1.8,2.6,0.8874595971138463
9,Rawle Alkins,SG,21,CHI,0.1111111111111111,0.012195121951219513,0.12037037037037036,0.15918367346938775,.333,0.058823529411764705,0.09090909090909091,.250,0.1075268817204301,0.16363636363636364,.370,.372,0.08247422680412372,0.10909090909090909,0.667,0.20370370370370372,0.13513513513513514,0.16666666666666669,0.12149532710280375,0.04166666666666667,0.0,0.16,0.175,0.10249307479224377,8.1,.418,.308,.308,9.9,13.7,11.8,15.2,0.4,0.0,15.3,19.0,-0.1,0.0,-0.1,-0.042,-3.8,-3.5,-7.3,-0.2,0.04244343595938489
10,Grayson Allen,SG,23,UTA,0.4567901234567901,0.024390243902439025,0.16666666666666666,0.19183673469387755,.376,0.15686274509803924,0.196969696969697,.323,0.0967741935483871,0.1272727272727273,.443,.466,0.12371134020618557,0.14545454545454548,0.75,0.018518518518518517,0.04504504504504505,0.038461538461538464,0.06542056074766354,0.08333333333333334,0.07407407407407407,0.18,0.3,0.15512465373961218,7.5,.516,.556,.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0.0,.002,-4.2,-2.1,-6.3,-0.5,0.13872473799340493
11,Jarrett Allen,C,20,BRK,0.9753086419753086,0.975609756097561,0.3888888888888889,0.2897959183673469,.590,0.019607843137254905,0.045454545454545456,.133,0.4408602150537634,0.3939393939393939,.629,.595,0.2577319587628866,0.3181818181818182,0.709,0.4444444444444444,0.5405405405405406,0.5384615384615385,0.1308411214953271,0.20833333333333334,0.5555555555555555,0.26,0.575,0.30193905817174516,18.5,.632,.079,.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,4.4,3.3,7.6,.175,0.2,1.4,1.6,1.9,0.6922197917006757
12,Kadeem Allen,PG,26,NYK,0.2222222222222222,0.012195121951219513,0.31481481481481477,0.3020408163265306,.461,0.17647058823529413,0.14393939393939395,.472,0.26881720430107525,0.3333333333333333,.457,.521,0.22680412371134023,0.2545454545454545,0.778,0.07407407407407407,0.2072072072072072,0.1730769230769231,0.3738317757009346,0.33333333333333337,0.07407407407407407,0.27999999999999997,0.6,0.2742382271468144,16.2,.574,.255,.383,2.0,11.1,6.4,28.7,1.9,0.8,13.6,19.6,0.7,0.2,1.0,.111,0.2,0.3,0.5,0.3,0.14231610565150674
13,Al-Farouq Aminu,PF,28,POR,0.9876543209876543,0.9878048780487805,0.2962962962962963,0.2979591836734694,.433,0.23529411764705882,0.26515151515151514,.343,0.2150537634408602,0.23636363636363636,.514,.514,0.1958762886597938,0.19090909090909092,0.867,0.25925925925925924,0.5495495495495495,0.4807692307692308,0.12149532710280375,0.33333333333333337,0.14814814814814814,0.18,0.45,0.26038781163434904,13.2,.568,.472,.292,5.3,22.6,14.2,6.0,1.4,1.2,9.7,13.7,3.0,2.8,5.8,.121,0.1,0.6,0.7,1.5,0.7568970583434
14,Justin Anderson,SF,25,ATL,0.5802469135802469,0.04878048780487805,0.12037037037037036,0.1346938775510204,.408,0.09803921568627452,0.12121212121212123,.312,0.08602150537634408,0.10303030303030303,.500,.484,0.051546391752577324,0.06363636363636363,0.743,0.09259259259259259,0.11711711711711713,0.11538461538461539,0.04672897196261683,0.20833333333333334,0.1111111111111111,0.1,0.25,0.10249307479224377,11.2,.516,.490,.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,.043,-2.4,-0.3,-2.7,-0.1,0.15364523817297332
