Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,W/L%,SRS
Precious Achiuwa,C,1.0,22.0,0.8888888888888888,0.3414634146341463,0.3157894736842105,0.3807339449541284,0.439,0.1777777777777777,0.1794871794871795,0.359,0.3052631578947368,0.3333333333333333,0.468,0.486,0.1145833333333333,0.1525423728813559,0.595,0.4347826086956522,0.4090909090909091,0.4421768707482993,0.1018518518518518,0.2,0.2142857142857143,0.25,0.42,0.2973856209150327,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,0.4,2.1,2.5,0.07,-2.0,-0.6,-2.6,-0.2,0.6050297907717888,0.5,1.59
Steven Adams,C,2.0,28.0,0.925925925925926,0.9146341463414634,0.2456140350877192,0.2339449541284403,0.547,0.0,0.0,0.0,0.2947368421052631,0.2732240437158469,0.548,0.547,0.1458333333333333,0.2203389830508474,0.543,1.0,0.4909090909090909,0.6802721088435374,0.3148148148148147,0.36,0.2857142857142857,0.3125,0.4,0.2254901960784313,17.6,0.56,0.003,0.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,3.8,3.0,6.8,0.163,1.0,1.0,2.0,2.0,0.7008798669807399,0.622,3.6
Bam Adebayo,C,3.0,24.0,0.6790123456790124,0.6829268292682927,0.6403508771929824,0.5963302752293578,0.557,0.0,0.0085470085470085,0.0,0.7684210526315789,0.7049180327868853,0.562,0.557,0.4791666666666666,0.5169491525423728,0.753,0.5217391304347826,0.6909090909090909,0.6870748299319728,0.3148148148148147,0.5599999999999999,0.2857142857142857,0.5416666666666667,0.62,0.6241830065359477,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,3.6,3.5,7.2,0.188,1.7,2.1,3.8,2.7,0.6427878619925176,0.537,-0.13
Santi Aldama,PF,4.0,21.0,0.382716049382716,0.0,0.1491228070175438,0.1880733944954128,0.402,0.0444444444444444,0.1282051282051282,0.125,0.1578947368421052,0.1420765027322404,0.56,0.424,0.0625,0.0847457627118644,0.625,0.2173913043478261,0.1545454545454545,0.1836734693877551,0.0648148148148148,0.08,0.1071428571428571,0.1041666666666666,0.22,0.1339869281045751,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,-0.1,0.4,0.3,0.044,-4.2,-1.5,-5.7,-0.3,0.1279271165304143,0.622,3.6
LaMarcus Aldridge,C,5.0,36.0,0.5679012345679012,0.1463414634146341,0.4736842105263158,0.4449541284403669,0.55,0.0666666666666666,0.0854700854700854,0.304,0.5368421052631579,0.4808743169398907,0.578,0.566,0.1979166666666666,0.1864406779661017,0.873,0.3478260869565218,0.3545454545454545,0.3741496598639456,0.0833333333333333,0.12,0.3571428571428571,0.1875,0.3399999999999999,0.4215686274509804,19.6,0.604,0.1,0.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,2.1,1.0,3.1,0.141,1.3,-0.6,0.7,0.7,0.370756547041707,0.549,1.03
Nickeil Alexander-Walker,SG,6.0,23.0,0.3888888888888889,0.12804878048780485,0.25438596491228066,0.36238532110091737,0.354,0.28888888888888886,0.3547008547008547,0.307,0.1684210526315789,0.20491803278688525,0.41700000000000004,0.444,0.10937499999999994,0.1144067796610169,0.8195,0.08695652173913039,0.1863636363636363,0.16326530612244894,0.1805555555555555,0.22,0.12499999999999994,0.22916666666666663,0.28,0.2663398692810457,10.35,0.4855,0.5854999999999999,0.2015,1.9,13.3,7.7,15.8,1.6,1.9,12.149999999999999,21.35,-0.55,0.55,0.05,0.0325,-2.3,-0.050000000000000044,-2.35,-0.15,0.25949147845365106,0.48150000000000004,0.29999999999999993
Grayson Allen,SG,7.0,26.0,0.8024691358024691,0.7439024390243902,0.3421052631578947,0.3944954128440366,0.448,0.5333333333333333,0.5042735042735044,0.409,0.1578947368421052,0.1475409836065573,0.533,0.588,0.1041666666666666,0.0932203389830508,0.865,0.108695652173913,0.2636363636363636,0.2312925170068027,0.1388888888888888,0.2799999999999999,0.1071428571428571,0.1458333333333333,0.3,0.3627450980392157,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,2.8,1.4,4.2,0.11,0.6,-0.2,0.4,1.1,0.634023832617431,0.707,3.61
Jarrett Allen,C,8.0,23.0,0.6790123456790124,0.6829268292682927,0.5789473684210525,0.4449541284403669,0.677,0.0,0.017094017094017,0.1,0.6947368421052631,0.5245901639344261,0.688,0.678,0.3020833333333333,0.3559322033898305,0.708,0.7391304347826088,0.6636363636363636,0.7346938775510204,0.1481481481481481,0.32,0.4642857142857143,0.3541666666666667,0.3399999999999999,0.5261437908496732,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,5.4,3.0,8.5,0.224,2.7,1.2,3.9,2.7,0.6374878758486905,0.622,5.23
Jose Alvarado,PG,9.0,23.0,0.654320987654321,0.0121951219512195,0.2105263157894736,0.2477064220183486,0.446,0.1333333333333333,0.1709401709401709,0.291,0.1894736842105263,0.1857923497267759,0.538,0.5,0.0729166666666666,0.0847457627118644,0.679,0.108695652173913,0.1272727272727272,0.1292517006802721,0.2592592592592592,0.52,0.0357142857142857,0.1458333333333333,0.2799999999999999,0.1993464052287581,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,1.0,1.1,2.1,0.121,-0.5,2.4,1.9,0.8,0.2935430234169322,0.512,1.63
Justin Anderson,SF,10.0,28.0,0.0864197530864197,0.0365853658536585,0.1666666666666666,0.21559633027522934,0.434,0.18888888888888886,0.26068376068376065,0.28900000000000003,0.11578947368421044,0.09016393442622944,0.7795000000000001,0.534,0.0989583333333333,0.10593220338983045,0.775,0.0326086956521739,0.21818181818181814,0.17346938775510207,0.18981481481481474,0.16,0.08928571428571425,0.12499999999999994,0.26999999999999996,0.1813725490196078,10.5,0.5705,0.6795,0.33599999999999997,0.8,14.5,7.7,15.45,1.2000000000000002,0.95,11.5,13.45,0.1,0.05,0.15000000000000002,0.0825,-2.35,-0.6000000000000001,-2.95,-0.05,0.060343633088540904,0.5245,1.1600000000000001
