Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP
Precious Achiuwa,C,1.0,23.0,0.6585365853658537,0.144578313253012,0.3214285714285714,0.3288288288288288,0.485,0.1020408163265306,0.175438596491228,0.269,0.2857142857142857,0.3033707865168539,0.564,0.521,0.16,0.1869918699186991,0.702,0.3529411764705882,0.4270833333333333,0.48,0.0841121495327102,0.1999999999999999,0.1666666666666666,0.2682926829268293,0.38,0.2779456193353474,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,0.386658657856976
Ochai Agbaji,SG,4.0,22.0,0.7073170731707317,0.2650602409638554,0.25,0.2927927927927928,0.427,0.2857142857142857,0.3421052631578947,0.355,0.1333333333333333,0.1516853932584269,0.532,0.532,0.09,0.097560975609756,0.812,0.1372549019607843,0.1354166666666666,0.168,0.102803738317757,0.0999999999999999,0.0999999999999999,0.1707317073170731,0.3399999999999999,0.2386706948640483,9.5,0.561,0.591,0.179,3.9,6.9,5.4,7.5,0.6,1.0,9.0,15.8,0.9,0.4,1.3,0.053,-1.7,-1.4,-3.0,-0.3,0.4096172456368672
Santi Aldama,PF,5.0,22.0,0.926829268292683,0.2409638554216867,0.2857142857142857,0.3063063063063063,0.47,0.2448979591836734,0.3070175438596491,0.353,0.1904761904761904,0.1910112359550561,0.591,0.56,0.1399999999999999,0.1544715447154471,0.75,0.2156862745098039,0.3854166666666667,0.384,0.1214953271028037,0.1999999999999999,0.1999999999999999,0.1951219512195122,0.38,0.2719033232628399,13.9,0.591,0.507,0.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,0.5678913471485301
Nickeil Alexander-Walker,SG,6.0,24.0,0.46747967479674796,0.024096385542168666,0.1964285714285714,0.2267267267267267,0.4386666666666667,0.21088435374149658,0.239766081871345,0.38233333333333336,0.11111111111111106,0.1292134831460674,0.5026666666666667,0.5419999999999999,0.06999999999999997,0.08130081300813,0.6593333333333333,0.05228758169934641,0.15277777777777776,0.136,0.1651090342679127,0.1666666666666666,0.12222222222222216,0.21138211382113822,0.29333333333333333,0.18529707955689825,11.4,0.559,0.5423333333333333,0.20000000000000004,1.9333333333333333,10.533333333333333,6.3,16.2,1.6666666666666667,1.9666666666666668,13.633333333333333,17.866666666666664,0.19999999999999998,0.5333333333333333,0.7333333333333334,0.06,-1.5,0.3333333333333333,-1.1333333333333333,0.13333333333333333,0.20102112323555912
Grayson Allen,SG,7.0,27.0,0.8658536585365854,0.8433734939759037,0.3035714285714286,0.3468468468468468,0.44,0.4081632653061224,0.4473684210526315,0.399,0.1333333333333333,0.1516853932584269,0.518,0.571,0.16,0.1463414634146341,0.905,0.1568627450980392,0.25,0.264,0.2149532710280373,0.3,0.0666666666666666,0.2439024390243902,0.32,0.3141993957703927,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1.0,0.6665331865051557
Jose Alvarado,PG,9.0,24.0,0.7317073170731707,0.1204819277108433,0.2946428571428571,0.3603603603603604,0.411,0.2857142857142857,0.3508771929824561,0.336,0.1809523809523809,0.2247191011235955,0.488,0.496,0.11,0.1056910569105691,0.813,0.0980392156862745,0.1979166666666666,0.184,0.2803738317757009,0.3666666666666667,0.0666666666666666,0.3170731707317074,0.4,0.2719033232628399,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,0.4436546868221711
Thanasis Antetokounmpo,PF,12.0,30.0,0.4390243902439024,0.0,0.0446428571428571,0.054054054054054,0.435,0.0,0.0175438596491228,0.0,0.0476190476190476,0.0561797752808988,0.526,0.435,0.03,0.048780487804878,0.5,0.0784313725490196,0.0833333333333333,0.096,0.0373831775700934,0.0333333333333333,0.0333333333333333,0.073170731707317,0.12,0.0422960725075528,6.7,0.458,0.174,0.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,-0.1,0.2,0.1,0.022,-6.5,-1.1,-7.6,-0.3,0.0699436046317616
Cole Anthony,PG,13.0,22.0,0.7195121951219512,0.0481927710843373,0.4107142857142857,0.4594594594594594,0.454,0.2653061224489796,0.2982456140350877,0.364,0.3238095238095238,0.3764044943820224,0.5,0.516,0.25,0.2276422764227642,0.894,0.1568627450980392,0.4166666666666667,0.384,0.3644859813084112,0.1999999999999999,0.1666666666666666,0.3658536585365854,0.52,0.3927492447129909,16.0,0.57,0.338,0.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,2.1,1.7,3.7,0.116,0.7,0.5,1.3,1.3,0.5258784663129443
Patrick Baldwin Jr.,SF,20.0,20.0,0.3658536585365853,0.0,0.125,0.1576576576576576,0.394,0.2040816326530612,0.2368421052631579,0.381,0.0380952380952381,0.0449438202247191,0.44,0.541,0.01,0.016260162601626,0.667,0.0,0.1354166666666666,0.104,0.0373831775700934,0.0666666666666666,0.0333333333333333,0.0975609756097561,0.1,0.1178247734138972,11.3,0.546,0.771,0.055,0.5,18.6,9.7,6.9,1.3,1.6,9.0,22.8,-0.1,0.3,0.1,0.029,-0.7,-1.4,-2.1,0.0,0.0771849033937331
Mo Bamba,C,22.0,24.0,0.0975609756097561,0.0120481927710843,0.1071428571428571,0.1351351351351351,0.407,0.1224489795918367,0.1578947368421052,0.313,0.0666666666666666,0.0674157303370786,0.545,0.5,0.0699999999999999,0.097560975609756,0.545,0.2352941176470588,0.34375,0.368,0.0373831775700934,0.0333333333333333,0.1999999999999999,0.2195121951219512,0.42,0.1117824773413897,11.4,0.518,0.593,0.407,13.9,35.3,24.9,6.0,0.5,4.8,20.1,19.1,-0.1,0.2,0.1,0.054,-5.3,-0.2,-5.5,-0.1,0.0319684986818834
Dalano Banton,PG,25.0,23.0,0.3658536585365853,0.0240963855421686,0.1607142857142857,0.1891891891891892,0.423,0.1020408163265306,0.1403508771929824,0.294,0.1238095238095238,0.1404494382022471,0.506,0.481,0.05,0.065040650406504,0.708,0.0784313725490196,0.1145833333333333,0.12,0.1121495327102803,0.1333333333333333,0.1333333333333333,0.1463414634146341,0.22,0.1389728096676737,14.9,0.505,0.392,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,0.0,0.4,0.4,0.064,-1.1,0.6,-0.5,0.1,0.0954383154803617
Dominick Barlow,PF,26.0,19.0,0.3292682926829268,0.0,0.1428571428571428,0.1396396396396396,0.535,0.0,0.0087719298245614,0.0,0.1523809523809524,0.1629213483146067,0.561,0.535,0.06,0.073170731707317,0.72,0.3137254901960785,0.2083333333333333,0.288,0.0841121495327102,0.1333333333333333,0.2333333333333333,0.1219512195121951,0.4,0.1178247734138972,12.4,0.567,0.047,0.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,0.5,0.2,0.7,0.082,-3.7,-0.8,-4.6,-0.3,0.1403543898288117
Will Barton,SG,30.0,32.0,0.4430894308943089,0.0160642570281124,0.2113095238095238,0.27777777777777773,0.373,0.23129251700680267,0.27192982456140347,0.359,0.11746031746031743,0.17415730337078647,0.38800000000000007,0.4633333333333333,0.056666666666666636,0.054200542005419995,0.855,0.0588235294117647,0.2083333333333333,0.18133333333333332,0.17133956386292834,0.17777777777777773,0.0777777777777777,0.17886178861788615,0.20666666666666667,0.1913393756294058,9.966666666666667,0.48266666666666663,0.5036666666666667,0.104,1.9000000000000001,13.166666666666666,7.533333333333334,14.299999999999999,1.7,1.2,9.200000000000001,18.333333333333332,-0.26666666666666666,0.5333333333333333,0.26666666666666666,0.028333333333333332,-2.1999999999999997,-0.3333333333333333,-2.6,-0.10000000000000002,0.22585955662339682
Keita Bates-Diop,PF,32.0,27.0,0.8048780487804879,0.5060240963855421,0.3125,0.3108108108108108,0.508,0.1632653061224489,0.1842105263157894,0.394,0.2571428571428572,0.2696629213483146,0.557,0.568,0.18,0.1788617886178861,0.793,0.196078431372549,0.28125,0.296,0.1401869158878504,0.2333333333333333,0.0999999999999999,0.1951219512195122,0.18,0.2930513595166162,14.9,0.609,0.305,0.323,4.7,14.3,9.3,9.8,1.5,1.1,9.5,16.7,2.1,0.6,2.7,0.089,0.3,-0.9,-0.6,0.5,0.4911068842393299
Nicolas Batum,PF,33.0,34.0,0.9390243902439024,0.2289156626506024,0.1875,0.2207207207207207,0.42,0.3265306122448979,0.3596491228070175,0.391,0.0476190476190476,0.0449438202247191,0.563,0.583,0.04,0.048780487804878,0.708,0.1568627450980392,0.3125,0.304,0.1495327102803738,0.2333333333333333,0.1999999999999999,0.1463414634146341,0.38,0.1842900302114803,11.0,0.594,0.832,0.126,4.1,15.4,9.8,9.4,1.5,2.3,11.1,11.5,1.7,1.9,3.6,0.101,-0.8,1.2,0.5,1.0,0.5769346280909
Darius Bazley,C,34.0,22.0,0.4695121951219512,0.0120481927710843,0.1741071428571428,0.1959459459459459,0.4515,0.1020408163265306,0.1096491228070175,0.3885,0.1428571428571428,0.17134831460674155,0.477,0.507,0.095,0.1382113821138211,0.5485,0.1568627450980392,0.26041666666666663,0.264,0.0841121495327102,0.1666666666666666,0.2666666666666666,0.1463414634146341,0.2,0.1601208459214501,13.0,0.5245,0.2875,0.397,5.65,18.4,11.95,7.95,1.65,4.949999999999999,10.85,16.049999999999997,0.1,0.8500000000000001,0.95,0.0785,-1.9,0.9,-1.0,0.15000000000000002,0.19966963660026024
Malik Beasley,SG,36.0,26.0,0.3048780487804878,0.1686746987951807,0.3571428571428571,0.463963963963964,0.392,0.5102040816326531,0.631578947368421,0.353,0.1428571428571428,0.1741573033707865,0.481,0.515,0.05,0.065040650406504,0.619,0.0588235294117647,0.3125,0.264,0.1121495327102803,0.2666666666666666,0.0,0.2926829268292683,0.24,0.3353474320241691,9.7,0.521,0.698,0.078,1.4,13.0,7.4,7.0,1.6,0.1,9.8,20.9,-0.5,0.6,0.2,0.012,-2.3,-0.6,-2.9,-0.1,0.2145359895885474
MarJon Beauchamp,SF,37.0,22.0,0.6219512195121951,0.1325301204819277,0.1607142857142857,0.2117117117117117,0.395,0.183673469387755,0.2368421052631579,0.331,0.0857142857142857,0.1067415730337078,0.485,0.492,0.05,0.056910569105691,0.73,0.1372549019607843,0.15625,0.176,0.0654205607476635,0.1333333333333333,0.0333333333333333,0.2195121951219512,0.2799999999999999,0.1540785498489426,8.2,0.513,0.584,0.152,5.9,11.0,8.5,6.7,1.4,0.8,14.8,18.3,-0.4,0.8,0.4,0.027,-4.1,-0.6,-4.8,-0.5,0.2377615376914606
Dāvis Bertāns,PF,38.0,30.0,0.5365853658536586,0.0120481927710843,0.1339285714285714,0.1621621621621621,0.431,0.2448979591836734,0.2719298245614035,0.39,0.0285714285714285,0.0224719101123595,0.737,0.603,0.03,0.024390243902439,0.867,0.0392156862745098,0.1041666666666666,0.096,0.0467289719626168,0.0666666666666666,0.0666666666666666,0.048780487804878,0.24,0.1389728096676737,11.9,0.618,0.881,0.094,2.3,10.3,6.3,6.2,1.1,1.5,5.7,16.2,0.6,0.3,0.9,0.09,0.0,-1.3,-1.2,0.1,0.167150532252144
Patrick Beverley,PG,39.0,34.0,0.2560975609756097,0.2650602409638554,0.1875,0.2432432432432432,0.395,0.2244897959183673,0.3245614035087719,0.309,0.0952380952380952,0.095505617977528,0.579,0.5,0.04,0.056910569105691,0.533,0.1764705882352941,0.4166666666666667,0.392,0.3271028037383178,0.3333333333333333,0.2333333333333333,0.1951219512195122,0.58,0.175226586102719,10.1,0.506,0.681,0.126,3.8,16.0,10.0,15.7,1.9,2.6,12.5,10.5,0.3,0.9,1.2,0.096,-2.4,2.2,-0.2,0.3,0.2103981045817065
Patrick Beverley,SG,39.0,34.0,0.5365853658536586,0.5421686746987951,0.1964285714285714,0.2432432432432432,0.402,0.2448979591836734,0.3070175438596491,0.348,0.0857142857142857,0.1011235955056179,0.506,0.517,0.09,0.089430894308943,0.78,0.0980392156862745,0.2708333333333333,0.248,0.2429906542056075,0.3,0.1999999999999999,0.2195121951219512,0.5599999999999999,0.1933534743202417,8.3,0.548,0.656,0.207,2.2,9.9,6.2,12.1,1.6,1.7,13.8,10.6,0.5,1.3,1.8,0.071,-3.2,1.4,-1.8,0.1,0.4124203290285981
Patrick Beverley,SG-PG,39.0,34.0,0.8048780487804879,0.8072289156626506,0.1875,0.2432432432432432,0.4,0.2448979591836734,0.3157894736842105,0.335,0.0952380952380952,0.1011235955056179,0.529,0.511,0.0699999999999999,0.08130081300813,0.723,0.1372549019607843,0.3125,0.296,0.2710280373831776,0.3,0.1999999999999999,0.2195121951219512,0.5599999999999999,0.1873111782477341,8.9,0.534,0.664,0.181,2.7,12.0,7.5,13.3,1.7,2.0,13.4,10.6,0.8,2.1,3.0,0.079,-2.9,1.7,-1.2,0.3,0.6143758133947342
Saddiq Bey,SF,40.0,23.0,0.2926829268292683,0.0843373493975903,0.3839285714285714,0.4144144144144144,0.47,0.4081632653061224,0.4385964912280701,0.4,0.219047619047619,0.2359550561797752,0.552,0.578,0.1,0.097560975609756,0.862,0.3137254901960785,0.3333333333333333,0.384,0.1308411214953271,0.2666666666666666,0.0,0.1707317073170731,0.3,0.350453172205438,15.2,0.599,0.543,0.126,6.7,14.3,10.4,7.2,1.5,0.1,6.5,17.4,1.1,0.5,1.6,0.119,1.7,-1.2,0.5,0.4,0.217639403343678
Khem Birch,C,41.0,30.0,0.2317073170731707,0.0,0.0892857142857142,0.072072072072072,0.594,0.0204081632653061,0.0087719298245614,0.5,0.0857142857142857,0.0842696629213483,0.6,0.609,0.02,0.024390243902439,0.8,0.0784313725490196,0.09375,0.104,0.0373831775700934,0.0999999999999999,0.0999999999999999,0.0975609756097561,0.24,0.066465256797583,9.4,0.629,0.063,0.156,5.2,12.8,8.7,5.8,1.5,3.0,19.0,11.1,0.1,0.2,0.2,0.072,-4.6,1.1,-3.5,-0.1,0.0560950378749958
Goga Bitadze,C,42.0,23.0,0.3475609756097561,0.00602409638554215,0.1383928571428571,0.1306306306306306,0.5355000000000001,0.0408163265306122,0.0614035087719298,0.2585,0.1333333333333333,0.12359550561797744,0.6205,0.567,0.055,0.089430894308943,0.503,0.27450980392156865,0.1614583333333333,0.236,0.0887850467289719,0.1333333333333333,0.19999999999999996,0.1463414634146341,0.32999999999999996,0.11631419939577035,15.5,0.5665,0.2385,0.399,14.4,15.95,15.15,12.1,1.9,4.8,14.700000000000001,15.45,0.5,0.4,0.8500000000000001,0.11399999999999999,-1.5499999999999998,1.15,-0.4,0.15,0.11289084659792434
Buddy Boeheim,SF,44.0,23.0,0.1097560975609756,0.0,0.0446428571428571,0.1216216216216216,0.185,0.0816326530612244,0.219298245614035,0.16,0.0095238095238095,0.0112359550561797,0.5,0.259,0.02,0.016260162601626,1.0,0.0392156862745098,0.0416666666666666,0.048,0.0373831775700934,0.0666666666666666,0.0,0.0,0.12,0.0483383685800604,0.5,0.287,0.926,0.074,2.4,5.1,3.7,5.8,1.1,0.0,0.0,13.2,-0.2,0.0,-0.2,-0.091,-7.5,-2.0,-9.5,-0.2,0.0323689391664163
Bogdan Bogdanović,SG,45.0,30.0,0.6463414634146342,0.108433734939759,0.4553571428571428,0.509009009009009,0.447,0.5510204081632653,0.5877192982456141,0.406,0.2285714285714285,0.2584269662921348,0.506,0.566,0.12,0.1138211382113821,0.831,0.0784313725490196,0.2708333333333333,0.248,0.2616822429906542,0.2666666666666666,0.0999999999999999,0.2926829268292683,0.32,0.4229607250755287,14.2,0.586,0.589,0.126,1.6,10.4,6.0,13.4,1.4,1.0,9.2,19.8,1.8,1.0,2.8,0.088,1.1,-0.7,0.5,0.9,0.5118630493542898
Brandon Boston Jr.,SF,50.0,21.0,0.2560975609756097,0.0120481927710843,0.2053571428571428,0.2477477477477477,0.418,0.1020408163265306,0.1140350877192982,0.414,0.1714285714285714,0.2359550561797752,0.419,0.467,0.13,0.1382113821138211,0.763,0.0588235294117647,0.1041666666666666,0.1119999999999999,0.0841121495327102,0.1333333333333333,0.0,0.1219512195121951,0.2,0.1963746223564954,13.4,0.515,0.238,0.311,3.2,10.3,6.8,12.5,1.8,0.0,8.0,26.5,0.0,0.2,0.2,0.04,-1.5,-0.7,-2.2,0.0,0.0858611138919478
