Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
1.0,Quincy Acy,PF,25.0,14.7,-0.1,0.4,2.5,0.1727574750830564,0.0427350427350427,0.2162162162162162,0.2802571980615121,0.585,2.3
4.0,Arron Afflalo,SG,30.0,10.9,-2.9,-0.5,2.7,0.4252491694352159,0.1709401709401709,0.25,0.7596845206043521,0.573,2.99
5.0,Alexis Ajinça,C,27.0,13.8,-4.0,-0.4,1.0,0.1993355481727574,0.0427350427350427,0.3108108108108107,0.2754426530676887,0.512,1.63
9.0,Lavoy Allen,PF,26.0,12.4,-1.6,0.2,3.7,0.1794019933554817,0.0854700854700854,0.3648648648648648,0.5109752621076304,0.427,-2.91
11.0,Al-Farouq Aminu,SF,25.0,12.7,0.1,1.2,4.0,0.3388704318936876,0.1452991452991453,0.4121621621621621,0.7486300719014285,0.402,-3.96
12.0,Lou Amundson,PF,33.0,6.7,-6.9,-0.3,-0.1,0.0598006644518272,0.0341880341880341,0.1148648648648648,0.064933008140382,0.573,2.99
13.0,Chris Andersen,C,37.0,16.35,2.45,0.15000000000000002,0.6000000000000001,0.10797342192691026,0.0384615384615384,0.1959459459459459,0.06547147698837535,0.5795,1.735
14.0,Alan Anderson,SG,33.0,9.2,-2.3,0.0,0.3,0.1661129568106312,0.094017094017094,0.1418918918918918,0.0636026733394571,0.427,-1.06
15.0,James Anderson,SG,26.0,6.0,-4.5,-0.5,-0.3,0.1162790697674418,0.0683760683760683,0.1148648648648648,0.2309397865129391,0.585,2.3
16.0,Justin Anderson,SF,22.0,12.3,0.3,0.4,1.1,0.1262458471760797,0.0427350427350427,0.1621621621621621,0.20677203762947,0.463,-0.14
23.0,Keith Appling,PG,23.0,-4.8,-15.1,-0.1,-0.1,0.0398671096345514,0.017094017094017,0.0135135135135135,0.0083621044629565,0.415,-2.39
25.0,Darrell Arthur,PF,27.0,12.5,-0.8,0.4,2.3,0.2491694352159468,0.1196581196581196,0.2837837837837837,0.4851604320420639,0.646,3.04
26.0,Ömer Aşık,C,29.0,11.0,-3.8,-0.5,1.7,0.1328903654485049,0.0341880341880341,0.4121621621621621,0.3767064711285673,0.512,1.63
27.0,D.J. Augustin,PG,28.0,8.7,-2.4,-0.1,0.7,0.1395348837209302,0.1623931623931624,0.0878378378378378,0.167337113173482,0.488,0.96
28.0,Jeff Ayres,C,28.0,8.3,-6.1,-0.1,0.2,0.0598006644518272,0.0256410256410256,0.0878378378378378,0.0339868866998194,0.537,0.31
29.0,Luke Babbitt,SF,26.0,11.6,-2.5,-0.1,1.1,0.2325581395348837,0.094017094017094,0.2094594594594594,0.271451648664914,0.512,1.63
30.0,Cameron Bairstow,C,25.0,6.8,-7.5,-0.1,0.0,0.0631229235880398,0.0256410256410256,0.1081081081081081,0.0325298533464255,0.488,1.37
31.0,Leandro Barbosa,SG,33.0,11.7,-2.0,0.0,2.1,0.2126245847176079,0.1025641025641025,0.1148648648648648,0.3449051344588388,0.537,1.66
32.0,J.J. Barea,PG,31.0,15.4,0.0,0.9,2.8,0.362126245847176,0.3504273504273504,0.1418918918918918,0.5332425327040639,0.463,-0.14
33.0,Andrea Bargnani,C,30.0,11.8,-5.1,-0.5,0.2,0.2192691029900332,0.0341880341880341,0.1418918918918918,0.2032878274365715,0.549,1.03
34.0,Harrison Barnes,SF,23.0,12.3,-1.3,0.3,4.9,0.388704318936877,0.1538461538461538,0.3310810810810811,0.6546830952456368,0.537,1.66
35.0,Matt Barnes,SF,35.0,11.7,-0.9,0.6,2.6,0.3322259136212624,0.1794871794871795,0.3716216216216216,0.7008963922587185,0.622,3.6
36.0,Will Barton,SG,25.0,16.0,0.8,1.7,4.3,0.4784053156146179,0.2136752136752137,0.3918918918918919,0.7524943777517341,0.646,3.04
