Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
1.0,Precious Achiuwa,C,22.0,12.7,-2.6,-0.2,2.5,0.2973856209150327,0.1018518518518518,0.4421768707482993,0.6050297907717888,0.5,1.59
2.0,Steven Adams,C,28.0,17.6,2.0,2.0,6.8,0.2254901960784313,0.3148148148148147,0.6802721088435374,0.7008798669807399,0.622,3.6
3.0,Bam Adebayo,C,24.0,21.8,3.8,2.7,7.2,0.6241830065359477,0.3148148148148147,0.6870748299319728,0.6427878619925176,0.537,-0.13
4.0,Santi Aldama,PF,21.0,10.2,-5.7,-0.3,0.3,0.1339869281045751,0.0648148148148148,0.1836734693877551,0.1279271165304143,0.622,3.6
5.0,LaMarcus Aldridge,C,36.0,19.6,0.7,0.7,3.1,0.4215686274509804,0.0833333333333333,0.3741496598639456,0.370756547041707,0.549,1.03
6.0,Nickeil Alexander-Walker,SG,23.0,10.35,-2.35,-0.15,0.05,0.2663398692810457,0.1805555555555555,0.16326530612244894,0.25949147845365106,0.48150000000000004,0.29999999999999993
7.0,Grayson Allen,SG,26.0,12.7,0.4,1.1,4.2,0.3627450980392157,0.1388888888888888,0.2312925170068027,0.634023832617431,0.707,3.61
8.0,Jarrett Allen,C,23.0,23.0,3.9,2.7,8.5,0.5261437908496732,0.1481481481481481,0.7346938775510204,0.6374878758486905,0.622,5.23
9.0,Jose Alvarado,PG,23.0,16.4,1.9,0.8,2.1,0.1993464052287581,0.2592592592592592,0.1292517006802721,0.2935430234169322,0.512,1.63
10.0,Justin Anderson,SF,28.0,10.3,-3.3,-0.1,0.2,0.2222222222222222,0.1944444444444444,0.2108843537414966,0.0996605237633365,0.427,-2.91
11.0,Kyle Anderson,PF,28.0,14.4,1.2,1.2,3.5,0.2483660130718954,0.25,0.3605442176870748,0.5208188998198697,0.622,3.6
12.0,Giannis Antetokounmpo,PF,27.0,32.1,11.2,7.4,12.9,0.9771241830065358,0.537037037037037,0.7891156462585034,0.7741790217541915,0.707,3.61
13.0,Thanasis Antetokounmpo,SF,29.0,12.5,-3.5,-0.2,0.9,0.1176470588235294,0.0462962962962962,0.1428571428571428,0.1665858389912705,0.707,3.61
14.0,Carmelo Anthony,PF,37.0,14.8,-0.5,0.7,3.6,0.434640522875817,0.0925925925925925,0.2857142857142857,0.6294166551198559,0.524,0.43
15.0,Cole Anthony,PG,21.0,13.5,-1.2,0.4,1.6,0.5326797385620915,0.5277777777777778,0.3673469387755102,0.7235347097131771,0.415,-2.39
16.0,OG Anunoby,SF,24.0,14.8,0.5,1.1,3.7,0.5588235294117647,0.2407407407407407,0.3741496598639456,0.6103644173479285,0.5,1.59
18.0,Trevor Ariza,SF,36.0,7.0,-3.4,-0.2,0.2,0.130718954248366,0.1018518518518518,0.2312925170068027,0.166031592074269,0.524,0.43
19.0,D.J. Augustin,PG,34.0,9.7,-3.45,-0.2,0.4,0.1748366013071895,0.1759259259259259,0.08503401360544215,0.15792573091312173,0.396,-3.595
20.0,Deni Avdija,SF,21.0,11.6,-1.7,0.1,2.4,0.2745098039215686,0.1851851851851851,0.3537414965986394,0.6949563530552861,0.427,-1.06
22.0,Deandre Ayton,C,23.0,21.9,2.8,2.1,7.3,0.5620915032679739,0.1296296296296296,0.6938775510204082,0.6029167244007205,0.549,2.08
23.0,Udoka Azubuike,C,22.0,17.6,-1.4,0.0,0.6,0.15359477124183,0.0,0.2857142857142857,0.0708396840792573,0.451,-1.03
24.0,Marvin Bagley III,PF,22.0,16.0,-2.05,-0.04999999999999999,1.0,0.39052287581699346,0.07870370370370365,0.47619047619047616,0.2075481502009145,0.39599999999999996,-2.7150000000000003
25.0,LaMelo Ball,PG,20.0,19.7,3.4,3.3,5.8,0.6568627450980392,0.7037037037037036,0.4557823129251701,0.8494873216017736,0.329,-5.89
26.0,Lonzo Ball,PG,24.0,14.5,2.5,1.4,2.2,0.4248366013071895,0.4722222222222221,0.3673469387755102,0.4311348205625606,0.488,1.37
27.0,Mo Bamba,C,23.0,16.5,0.7,1.2,4.5,0.3464052287581699,0.1111111111111111,0.5510204081632654,0.6400512678398226,0.415,-2.39
28.0,Desmond Bane,SG,23.0,17.6,2.7,2.7,7.2,0.5947712418300654,0.25,0.2993197278911565,0.7945822363863101,0.622,3.6
29.0,Dalano Banton,PG,22.0,10.0,-3.1,-0.2,0.4,0.1045751633986928,0.1388888888888888,0.1292517006802721,0.2441804073714839,0.5,1.59
31.0,Harrison Barnes,PF,29.0,15.7,0.2,1.4,6.0,0.5359477124183006,0.2222222222222222,0.3809523809523809,0.9046348898434252,0.585,2.3
32.0,Scottie Barnes,PF,20.0,16.3,0.9,1.9,6.6,0.5,0.324074074074074,0.5102040816326531,0.9181100180130248,0.5,1.59
33.0,RJ Barrett,SF,21.0,13.7,-1.6,0.2,2.3,0.6535947712418301,0.2777777777777777,0.3945578231292517,0.8485173894970208,0.573,2.99
34.0,Will Barton,SG,31.0,13.4,-0.5,0.9,3.2,0.480392156862745,0.3611111111111111,0.326530612244898,0.7991894138838852,0.646,3.04
36.0,Charles Bassey,C,21.0,21.5,1.7,0.2,0.8,0.0980392156862745,0.0277777777777777,0.1836734693877551,0.0600318691977275,0.659,4.37
37.0,Keita Bates-Diop,SF,26.0,12.4,-2.6,-0.1,1.6,0.1862745098039215,0.0648148148148148,0.2653061224489796,0.3364278786199252,0.268,-9.82
38.0,Nicolas Batum,PF,33.0,13.5,2.3,1.6,3.7,0.2712418300653595,0.1574074074074073,0.2925170068027211,0.5146875433005403,0.537,0.31
39.0,Kent Bazemore,SF,32.0,6.0,-4.3,-0.3,0.1,0.1111111111111111,0.0833333333333333,0.1224489795918367,0.1929472079811555,0.524,0.43
40.0,Darius Bazley,PF,21.0,12.6,-1.8,0.1,1.8,0.3529411764705882,0.1296296296296296,0.4285714285714286,0.675453789663295,0.488,0.96
41.0,Bradley Beal,SG,28.0,17.5,0.8,1.0,1.4,0.7581699346405228,0.611111111111111,0.3197278911564626,0.5102535679645281,0.427,-1.06
42.0,Malik Beasley,SG,25.0,11.9,-0.7,0.7,2.9,0.3954248366013072,0.1388888888888888,0.1972789115646258,0.6924622419287793,0.512,-0.22
44.0,DeAndre' Bembry,SF,27.0,12.4,-0.4,0.4,2.1,0.1895424836601307,0.1203703703703703,0.217687074829932,0.3349036995981709,0.549,1.03
