Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP
1.0,Precious Achiuwa,C,23.0,15.2,-2.3,-0.1,2.2,0.2779456193353474,0.0841121495327102,0.48,0.386658657856976
4.0,Ochai Agbaji,SG,22.0,9.5,-3.0,-0.3,1.3,0.2386706948640483,0.102803738317757,0.168,0.4096172456368672
5.0,Santi Aldama,PF,22.0,13.9,0.5,1.1,4.6,0.2719033232628399,0.1214953271028037,0.384,0.5678913471485301
6.0,Nickeil Alexander-Walker,SG,24.0,11.4,-1.1333333333333333,0.13333333333333333,0.7333333333333334,0.18529707955689825,0.1651090342679127,0.136,0.20102112323555912
7.0,Grayson Allen,SG,27.0,12.3,0.1,1.0,5.1,0.3141993957703927,0.2149532710280373,0.264,0.6665331865051557
9.0,Jose Alvarado,PG,24.0,11.8,-1.2,0.3,1.8,0.2719033232628399,0.2803738317757009,0.184,0.4436546868221711
12.0,Thanasis Antetokounmpo,PF,30.0,6.7,-7.6,-0.3,0.1,0.0422960725075528,0.0373831775700934,0.096,0.0699436046317616
13.0,Cole Anthony,PG,22.0,16.0,1.3,1.3,3.7,0.3927492447129909,0.3644859813084112,0.384,0.5258784663129443
20.0,Patrick Baldwin Jr.,SF,20.0,11.3,-2.1,0.0,0.1,0.1178247734138972,0.0373831775700934,0.104,0.0771849033937331
22.0,Mo Bamba,C,24.0,11.4,-5.5,-0.1,0.1,0.1117824773413897,0.0373831775700934,0.368,0.0319684986818834
25.0,Dalano Banton,PG,23.0,14.9,-0.5,0.1,0.4,0.1389728096676737,0.1121495327102803,0.12,0.0954383154803617
26.0,Dominick Barlow,PF,19.0,12.4,-4.6,-0.3,0.7,0.1178247734138972,0.0841121495327102,0.288,0.1403543898288117
30.0,Will Barton,SG,32.0,9.966666666666667,-2.6,-0.10000000000000002,0.26666666666666666,0.1913393756294058,0.17133956386292834,0.18133333333333332,0.22585955662339682
32.0,Keita Bates-Diop,PF,27.0,14.9,-0.6,0.5,2.7,0.2930513595166162,0.1401869158878504,0.296,0.4911068842393299
33.0,Nicolas Batum,PF,34.0,11.0,0.5,1.0,3.6,0.1842900302114803,0.1495327102803738,0.304,0.5769346280909
34.0,Darius Bazley,C,22.0,13.0,-1.0,0.15000000000000002,0.95,0.1601208459214501,0.0841121495327102,0.264,0.19966963660026024
36.0,Malik Beasley,SG,26.0,9.7,-2.9,-0.1,0.2,0.3353474320241691,0.1121495327102803,0.264,0.2145359895885474
37.0,MarJon Beauchamp,SF,22.0,8.2,-4.8,-0.5,0.4,0.1540785498489426,0.0654205607476635,0.176,0.2377615376914606
38.0,Dāvis Bertāns,PF,30.0,11.9,-1.2,0.1,0.9,0.1389728096676737,0.0467289719626168,0.096,0.167150532252144
39.0,Patrick Beverley,PG,34.0,10.1,-0.2,0.3,1.2,0.175226586102719,0.3271028037383178,0.392,0.2103981045817065
39.0,Patrick Beverley,SG,34.0,8.3,-1.8,0.1,1.8,0.1933534743202417,0.2429906542056075,0.248,0.4124203290285981
39.0,Patrick Beverley,SG-PG,34.0,8.9,-1.2,0.3,3.0,0.1873111782477341,0.2710280373831776,0.296,0.6143758133947342
40.0,Saddiq Bey,SF,23.0,15.2,0.5,0.4,1.6,0.350453172205438,0.1308411214953271,0.384,0.217639403343678
41.0,Khem Birch,C,30.0,9.4,-3.5,-0.1,0.2,0.066465256797583,0.0373831775700934,0.104,0.0560950378749958
42.0,Goga Bitadze,C,23.0,15.5,-0.4,0.15,0.8500000000000001,0.11631419939577035,0.0887850467289719,0.236,0.11289084659792434
44.0,Buddy Boeheim,SF,23.0,0.5,-9.5,-0.2,-0.2,0.0483383685800604,0.0373831775700934,0.048,0.0323689391664163
45.0,Bogdan Bogdanović,SG,30.0,14.2,0.5,0.9,2.8,0.4229607250755287,0.2616822429906542,0.248,0.5118630493542898
50.0,Brandon Boston Jr.,SF,21.0,13.4,-2.2,0.0,0.2,0.1963746223564954,0.0841121495327102,0.1119999999999999,0.0858611138919478
52.0,James Bouknight,SG,22.0,6.2,-6.5,-0.6,-0.4,0.1691842900302114,0.1121495327102803,0.168,0.1762271832348917
