Antecedent,Consequent,Support,Confidence,Lift
"('Patrick Beverley_-5<=BPM<0',)","('Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_PER<15', 'Patrick Beverley_VORP<5', 'Patrick Beverley_WS<5')",0,1.0,0
"('Patrick Beverley_PER<15',)","('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_VORP<5', 'Patrick Beverley_WS<5')",0,1.0,0
"('Patrick Beverley_VORP<5',)","('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_PER<15', 'Patrick Beverley_WS<5')",0,1.0,0
"('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_PER<15')","('Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_VORP<5', 'Patrick Beverley_WS<5')",0,1.0,0
"('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_VORP<5')","('Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_PER<15', 'Patrick Beverley_WS<5')",0,1.0,0
"('Patrick Beverley_PER<15', 'Patrick Beverley_VORP<5')","('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_WS<5')",0,1.0,0
"('Patrick Beverley_WS<5',)","('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_PER<15', 'Patrick Beverley_VORP<5')",0,1.0,0
"('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_WS<5')","('Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_PER<15', 'Patrick Beverley_VORP<5')",0,1.0,0
"('Patrick Beverley_VORP<5', 'Patrick Beverley_WS<5')","('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_PER<15')",0,1.0,0
"('Patrick Beverley_PER<15', 'Patrick Beverley_WS<5')","('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_VORP<5')",0,1.0,0
"('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_PER<15', 'Patrick Beverley_VORP<5')","('Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_WS<5')",0,1.0,0
"('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_PER<15', 'Patrick Beverley_WS<5')","('Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_VORP<5')",0,1.0,0
"('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_VORP<5', 'Patrick Beverley_WS<5')","('Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_PER<15')",0,1.0,0
"('Patrick Beverley_PER<15', 'Patrick Beverley_VORP<5', 'Patrick Beverley_WS<5')","('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_0.25<=WLp<0.5', 'Patrick Beverley_0<=SRS<5')",0,1.0,0
"('Patrick Beverley_0.25<=WLp<0.5',)","('Patrick Beverley_-5<=BPM<0', 'Patrick Beverley_0<=SRS<5', 'Patrick Beverley_PER<15', 'Patrick Beverley_VORP<5', 'Patrick Beverley_WS<5')",0,1.0,0
