Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value
1.0,Precious Achiuwa,C,23.0,15.2,-2.3,-0.1,2.2,0.2779456193353474,0.0841121495327102,0.48,0.4028859527121001,0.5,1.59,0.054053371932237915,0.15922859988610472
2.0,Steven Adams,C,29.0,17.5,0.6,0.7,3.4,0.2598187311178248,0.2149532710280373,0.92,0.4026425591098748,0.622,3.6,0.559591860614557,0.3060738070687187
3.0,Bam Adebayo,C,25.0,20.1,1.5,2.3,7.4,0.6163141993957704,0.2990654205607477,0.736,0.914673157162726,0.537,-0.13,1.3744014173741539,1.3416301366056123
4.0,Ochai Agbaji,SG,22.0,9.5,-3.0,-0.3,1.3,0.2386706948640483,0.102803738317757,0.168,0.426808066759388,0.451,-1.03,-0.43364191897137877,-0.3949086698606844
5.0,Santi Aldama,PF,22.0,13.9,0.5,1.1,4.6,0.2719033232628399,0.1214953271028037,0.384,0.5917246175243394,0.622,3.6,0.4231514715424703,0.3052579494656031
6.0,Nickeil Alexander-Walker,SG,24.0,11.3,-1.25,0.0999999999999999,0.55,0.1842900302114803,0.1635514018691588,0.136,0.158240611961057,0.4815,-0.625,-0.3707494887495206,-0.2977295740135689
7.0,Grayson Allen,SG,27.0,12.3,0.1,1.0,5.1,0.3141993957703927,0.2149532710280373,0.264,0.6945062586926287,0.707,3.61,0.3567905421502866,0.37367886487497814
8.0,Jarrett Allen,C,24.0,19.9,2.4,2.4,9.5,0.43202416918429,0.1588785046728972,0.784,0.7825452016689847,0.622,5.23,1.5337089290064745,1.4340144019739636
9.0,Jose Alvarado,PG,24.0,11.8,-1.2,0.3,1.8,0.2719033232628399,0.2803738317757009,0.184,0.4622739916550765,0.512,1.63,-0.1112607311132208,0.12153417173618991
10.0,Kyle Anderson,PF,29.0,14.8,2.5,2.2,5.1,0.283987915407855,0.4579439252336449,0.424,0.6896383866481224,0.512,-0.22,0.7469395794168889,0.8556533961137951
11.0,Giannis Antetokounmpo,PF,28.0,29.0,8.5,5.4,8.6,0.9395770392749244,0.5327102803738318,0.944,0.714221140472879,0.707,3.61,2.575238031554634,2.4350865421513617
12.0,Thanasis Antetokounmpo,PF,30.0,6.7,-7.6,-0.3,0.1,0.0422960725075528,0.0373831775700934,0.096,0.0728789986091794,0.707,3.61,-0.9968046393761376,-0.7703086237633712
13.0,Cole Anthony,PG,22.0,16.0,1.3,1.3,3.7,0.3927492447129909,0.3644859813084112,0.384,0.5479485396383866,0.415,-2.39,0.5712159625099443,0.6869241010698645
14.0,OG Anunoby,SF,25.0,14.6,0.4,1.5,4.7,0.5075528700906344,0.1869158878504673,0.4,0.841307371349096,0.5,1.59,0.5813627345444607,0.46917959529114256
15.0,Ryan Arcidiacono,PG,28.0,2.85,-7.25,-0.15,-0.05,0.0438066465256797,0.116822429906542,0.064,0.0324408901251738,0.4875,-0.4849999999999999,-1.1549185430933926,-0.9799340582906031
16.0,Deni Avdija,SF,22.0,11.2,-2.3,-0.1,2.3,0.2779456193353474,0.2616822429906542,0.512,0.7109179415855355,0.427,-1.06,-0.04193672370731312,-0.014867827183456514
17.0,Deandre Ayton,C,24.0,19.9,0.9,1.5,6.2,0.5438066465256798,0.1588785046728972,0.8,0.7174547983310153,0.549,2.08,1.1089301687785806,1.0602812785416258
18.0,Udoka Azubuike,C,23.0,16.1,-0.6,0.1,1.0,0.1057401812688821,0.02803738317757,0.264,0.1276077885952712,0.451,-1.03,-0.08910627143706451,-0.15806057559223557
19.0,Marvin Bagley III,C,23.0,17.2,-0.9,0.3,2.0,0.3625377643504531,0.0841121495327102,0.512,0.3517385257301808,0.207,-7.73,0.2346987008385264,0.23097289756273984
20.0,Patrick Baldwin Jr.,SF,20.0,11.3,-2.1,0.0,0.1,0.1178247734138972,0.0373831775700934,0.104,0.0804242002781641,0.537,1.66,-0.49343853174552826,-0.42457852454623934
21.0,LaMelo Ball,PG,21.0,17.9,2.4,1.4,1.8,0.7039274924471299,0.7850467289719627,0.512,0.4524339360222531,0.329,-5.89,0.7417757876730313,0.5945863660827629
22.0,Mo Bamba,C,24.0,13.85,-2.1,0.25,1.1,0.1661631419939576,0.0700934579439252,0.368,0.1376564673157162,0.4695,-0.98,-0.1750000116032931,-0.11746552482253157
23.0,Paolo Banchero,PF,20.0,14.9,-1.5,0.3,2.4,0.6042296072507553,0.3457943925233645,0.552,0.855980528511822,0.415,-2.39,0.3450617827339513,0.2732239362678137
24.0,Desmond Bane,SG,24.0,19.1,3.5,2.5,5.8,0.6495468277945619,0.4112149532710281,0.4,0.650452016689847,0.622,3.6,1.1782674634485764,1.0524655557452671
25.0,Dalano Banton,PG,23.0,14.9,-0.5,0.1,0.4,0.1389728096676737,0.1121495327102803,0.12,0.0994436717663421,0.5,1.59,-0.21417411764345065,-0.19052024176561783
26.0,Dominick Barlow,PF,19.0,12.4,-4.6,-0.3,0.7,0.1178247734138972,0.0841121495327102,0.288,0.1462447844228094,0.268,-9.82,-0.41042560154937746,-0.38396965909668657
27.0,Harrison Barnes,PF,30.0,14.1,-1.0,0.7,6.5,0.4531722054380664,0.1495327102803738,0.36,0.9361961057023644,0.585,2.3,0.5685339711191009,0.7346714766733874
28.0,Scottie Barnes,SF,21.0,15.5,0.4,1.6,5.0,0.4622356495468278,0.4485981308411215,0.528,0.9425591098748262,0.5,1.59,0.7912572360877459,0.7533345461386323
29.0,RJ Barrett,SG,22.0,12.9,-3.1,-0.7,2.2,0.5921450151057402,0.2616822429906542,0.4,0.8716620305980529,0.573,2.99,0.015129219955506399,0.04005671063842807
30.0,Will Barton,SG,32.0,9.95,-2.6,-0.05,0.2,0.1842900302114803,0.1635514018691588,0.1759999999999999,0.1776425591098748,0.4635,0.265,-0.5609281985203841,-0.44671580009488915
31.0,Charles Bassey,C,22.0,18.8,0.6,0.3,1.3,0.1722054380664652,0.1214953271028037,0.44,0.1809805285118219,0.268,-9.82,0.22714491625124356,0.25590480275779376
32.0,Keita Bates-Diop,PF,27.0,14.9,-0.6,0.5,2.7,0.2930513595166162,0.1401869158878504,0.296,0.5117176634214187,0.268,-9.82,0.14909789164643153,0.12494653750366899
33.0,Nicolas Batum,PF,34.0,11.0,0.5,1.0,3.6,0.1842900302114803,0.1495327102803738,0.304,0.6011474269819194,0.537,0.31,0.06967465287640043,0.12410726239953308
34.0,Darius Bazley,C,22.0,14.2,-0.7,0.05,0.5,0.1419939577039274,0.0841121495327102,0.228,0.1105876216968011,0.5185,1.52,-0.22032189943314634,-0.19707074954978485
35.0,Bradley Beal,SG,29.0,19.7,1.8,1.6,3.4,0.7009063444108761,0.5046728971962617,0.312,0.592663421418637,0.427,-1.06,0.8205980695035161,0.8603314992292077
36.0,Malik Beasley,SG,26.0,10.6,-2.25,0.05,0.7,0.3700906344410876,0.1355140186915887,0.276,0.3719923504867871,0.4875,-0.3,-0.34436188868058737,-0.3754296225730315
37.0,MarJon Beauchamp,SF,22.0,8.2,-4.8,-0.5,0.4,0.1540785498489426,0.0654205607476635,0.176,0.2477399165507649,0.707,3.61,-0.7043066273271955,-0.6510886777537777
38.0,Dāvis Bertāns,PF,30.0,11.9,-1.2,0.1,0.9,0.1389728096676737,0.0467289719626168,0.096,0.1741655076495132,0.463,-0.14,-0.39240152746111456,-0.31959993865649333
39.0,Patrick Beverley,PG,34.0,10.1,-0.2,0.3,1.2,0.175226586102719,0.3271028037383178,0.392,0.2192280945757997,0.488,1.37,-0.2564167922003392,-0.21444637293951094
39.0,Patrick Beverley,SG,34.0,8.3,-1.8,0.1,1.8,0.1933534743202417,0.2429906542056075,0.248,0.4297287899860918,0.524,0.43,-0.39164296519743724,-0.39584622810919656
40.0,Saddiq Bey,SF,23.0,14.75,-0.0999999999999999,0.45,1.95,0.3987915407854984,0.1401869158878504,0.38,0.3788247566063977,0.3535,-3.705,0.13864445021850447,0.19204692558883865
41.0,Khem Birch,C,30.0,9.4,-3.5,-0.1,0.2,0.066465256797583,0.0373831775700934,0.104,0.0584492350486787,0.5,1.59,-0.7016804697935494,-0.588015415550428
42.0,Goga Bitadze,C,23.0,16.8,0.0999999999999999,0.1,0.7,0.1374622356495468,0.0981308411214952,0.3,0.0830319888734353,0.421,-2.6500000000000004,-0.029735816742588454,-0.050983595482841315
