Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (DecisionTree),Predicted Trade Value (RandomForest),Predicted Trade Value (GradientBoosting)
290,Nikola Jokić,C,26,32.8,13.7,9.8,15.2,0.885620915,0.731481481,0.93877551,0.86860884,0.646,3.04,4.683801975,4.549352282,4.317383797,4.366831832
12,Giannis Antetokounmpo,PF,27,32.1,11.2,7.4,12.9,0.977124183,0.537037037,0.789115646,0.774179022,0.707,3.61,3.808661211,3.679717468,3.738422211,3.622984195
162,Joel Embiid,C,27,31.2,9.2,6.5,12,1,0.388888889,0.795918367,0.806706388,0.659,4.37,3.410939786,3.224506899,3.165986895,3.066120864
141,Luka Dončić,PG,22,25.1,8.2,5.9,7.6,0.928104575,0.805555556,0.619047619,0.808646252,0.463,-0.14,2.815609406,3.080799695,3.010407288,2.97209678
602,Trae Young,PG,23,25.4,5.2,4.8,10,0.928104575,0.898148148,0.25170068,0.930060967,0.5,0.32,2.95433627,2.590249834,2.526277095,2.646502796
526,Jayson Tatum,SF,23,21.8,5,4.8,9.6,0.879084967,0.407407407,0.544217687,0.957773313,0.695,6.38,2.520851612,2.139316805,2.38278298,2.447825009
274,LeBron James,C,37,26.2,7.7,5.1,7.5,0.990196078,0.574074074,0.557823129,0.734100042,0.524,0.43,2.202633577,2.339726417,2.370074722,2.43980648
154,Kevin Durant,PF,33,25.6,7.2,4.8,8.4,0.977124183,0.592592593,0.503401361,0.721283082,0.549,1.03,2.349493782,2.328463135,2.332506395,2.41322452
546,Karl-Anthony Towns,C,26,24.1,5,4.4,10.3,0.803921569,0.333333333,0.666666667,0.86860884,0.512,-0.22,2.441231459,1.97664566,2.245119814,2.26022677
126,Stephen Curry,PG,33,21.4,5.8,4.4,8,0.833333333,0.583333333,0.353741497,0.777158099,0.537,1.66,1.98882996,1.834696005,2.156368167,2.075358561
