Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (DecisionTree),Predicted Trade Value (RandomForest),Predicted Trade Value (GradientBoosting),Predicted WLp (DecisionTree),Predicted WLp (RandomForest),Predicted WLp (GradientBoosting),Predicted SRS (DecisionTree),Predicted SRS (RandomForest),Predicted SRS (GradientBoosting)
249,Nikola Jokić,C,27,31.5,13,8.8,14.9,0.740181269,0.91588785,0.944,0.818741307,0.646,3.04,3.955225084,3.74163066,3.667284371,3.602228057,0.500202381,0.50019914,0.55403183,0.008038095,0.011197132,0.613455876
143,Joel Embiid,C,28,31.4,9.2,6.4,12.3,1,0.392523364,0.816,0.805493741,0.659,4.37,3.126370632,2.962339798,2.882632648,2.780788653,0.496944006,0.498272086,0.597377198,-0.087681388,-0.035907137,-1.038744674
125,Luka Dončić,PG,23,28.7,8.9,6.6,10.2,0.978851964,0.747663551,0.688,0.84325452,0.463,-0.14,3.101828934,3.035719248,2.875094408,2.916399622,0.504676727,0.504578297,0.446024334,0.217796781,0.214176249,-0.734405428
11,Giannis Antetokounmpo,PF,28,29,8.5,5.4,8.6,0.939577039,0.53271028,0.944,0.71422114,0.707,3.61,2.786326718,2.719920281,2.585095295,2.555053475,0.496944006,0.498272086,0.55680787,-0.087681388,-0.035907137,0.125311302
164,Shai Gilgeous-Alexander,PG,24,27.2,7.3,5.6,11.4,0.948640483,0.514018692,0.384,0.851703755,0.488,0.96,2.605629755,2.633609455,2.557997374,2.579286546,0.506668716,0.506953653,0.57886401,0.245491803,0.252771118,0.125311302
75,Jimmy Butler,PF,33,27.6,8.7,5.8,12.3,0.6918429,0.495327103,0.472,0.754311544,0.537,-0.13,2.548222848,2.542125966,2.551639805,2.600187031,0.495860902,0.496115045,0.531736693,-0.289736842,-0.275107813,-0.917439976
428,Domantas Sabonis,C,26,23.5,5.8,5.4,12.6,0.577039275,0.682242991,0.984,0.962656467,0.585,2.3,2.735580699,2.229484225,2.321226908,2.406509391,0.500747852,0.50146367,0.491740138,0.054269759,0.07064454,0.018144775
292,Damian Lillard,PG,32,26.7,7.1,4.9,9,0.972809668,0.682242991,0.384,0.744541029,0.402,-3.96,2.387456999,2.275647888,2.270466158,2.382923646,0.498590909,0.497803163,0.466809648,-0.096093074,-0.113315079,-4.748541616
465,Jayson Tatum,SF,24,23.7,5.5,5.1,10.5,0.909365559,0.429906542,0.704,0.962065369,0.695,6.38,2.480422884,2.318644744,2.264464529,2.230111401,0.506668716,0.506953653,0.544235206,0.245491803,0.252771118,2.433521648
108,Stephen Curry,PG,34,24.1,7.5,4.7,7.8,0.888217523,0.588785047,0.488,0.686265647,0.537,1.66,2.166414747,2.222580709,2.111781975,2.146505578,0.492780797,0.491827704,0.568177099,-0.254981884,-0.302217811,1.337834526
338,Donovan Mitchell,SG,26,22.9,6.3,5,8.9,0.854984894,0.411214953,0.344,0.857371349,0.622,5.23,2.08413035,1.939985557,2.085891533,2.200162031,0.500747852,0.50146367,0.528510625,0.054269759,0.07064454,-0.339278778
186,Tyrese Haliburton,PG,22,23.6,7.2,4.4,7.6,0.625377644,0.971962617,0.296,0.665716273,0.427,-2.91,2.097941656,2.003323101,2.064099419,2.112775382,0.501837292,0.502055693,0.526282723,0.104802059,0.108047752,-0.228739142
110,Anthony Davis,C,29,27.8,6.3,4,9,0.782477341,0.242990654,1,0.673157163,0.524,0.43,2.261127032,2.023023705,2.029072848,1.950828256,0.503932624,0.504477885,0.519805645,0.109143026,0.122744987,0.79069114
239,LeBron James,PF,38,23.9,6.1,4,5.6,0.873111782,0.635514019,0.664,0.691063978,0.524,0.43,1.990946973,1.962839692,1.929599499,1.872546275,0.50005,0.501848949,0.524324644,-0.4145,-0.311997589,-0.253712538
346,Ja Morant,PG,23,23.3,5.7,3.8,6,0.791540785,0.757009346,0.472,0.687726008,0.622,3.6,1.94648518,1.962839692,1.898780486,1.920477752,0.504676727,0.504578297,0.512506978,0.217796781,0.214176249,0.79069114
405,Julius Randle,PF,28,20.3,3.7,3.9,8.1,0.758308157,0.38317757,0.8,0.963317107,0.573,2.99,1.946163041,1.705333875,1.850841916,1.763592926,0.496944006,0.498272086,0.509417372,-0.087681388,-0.035907137,0.613455876
190,James Harden,PG,33,21.6,5.4,4,8.4,0.634441088,1,0.488,0.754450626,0.659,4.37,2.065518706,1.90247527,1.836925403,1.911160876,0.495860902,0.496115045,0.500287576,-0.289736842,-0.275107813,-0.15979948
536,Trae Young,PG,24,22,3.3,3.4,6.7,0.791540785,0.953271028,0.24,0.894923505,0.5,0.32,1.846460234,1.926102728,1.822534102,1.895071333,0.506668716,0.506953653,0.515012276,0.245491803,0.252771118,0.79069114
69,Jalen Brunson,PG,26,21.2,3.9,3.5,8.7,0.725075529,0.579439252,0.28,0.838664812,0.573,2.99,1.712291547,1.934896551,1.78453059,1.754912657,0.500747852,0.50146367,0.483588417,0.054269759,0.07064454,-1.29819951
288,Kawhi Leonard,SF,31,23.9,6.1,3.5,7.1,0.719033233,0.364485981,0.52,0.618776078,0.537,0.31,1.695237094,1.902820549,1.770697229,1.727448812,0.500224656,0.500701738,0.522635615,-0.019536082,-0.000639749,0.043408843
393,Kristaps Porziņģis,C,27,23.1,4.3,3.4,7.7,0.700906344,0.252336449,0.672,0.747774687,0.427,-1.06,1.701710635,1.977998461,1.747949658,1.745651315,0.500202381,0.50019914,0.488114152,0.008038095,0.011197132,-0.917439976
442,Pascal Siakam,PF,28,20.3,3.1,3.4,7.8,0.731117825,0.542056075,0.624,0.934422809,0.5,1.59,1.801666484,1.777275283,1.694899413,1.679972794,0.496944006,0.498272086,0.483588417,-0.087681388,-0.035907137,-0.711257843
307,Lauri Markkanen,PF,25,22.1,3.8,3.3,8.2,0.773413897,0.177570093,0.688,0.801599444,0.451,-1.03,1.712788188,1.780385914,1.661377382,1.68112911,0.508199225,0.507789807,0.498650271,0.308763566,0.295673654,0.79069114
49,Devin Booker,SG,26,22,4.2,2.9,6,0.839879154,0.514018692,0.36,0.649374131,0.549,2.08,1.529043943,1.778407332,1.661272008,1.571199029,0.500747852,0.50146367,0.521156071,0.054269759,0.07064454,0.960895052
153,De'Aaron Fox,PG,25,21.8,2.5,2.7,7.4,0.755287009,0.570093458,0.336,0.857579972,0.585,2.3,1.557601751,1.68047249,1.646704218,1.589738352,0.508199225,0.507789807,0.455853493,0.308763566,0.295673654,0.613455876
489,Nikola Vučević,C,32,19.1,2.7,3.2,8.3,0.531722054,0.299065421,0.88,0.965751043,0.488,1.37,1.636323421,1.527476956,1.56893373,1.613026554,0.498590909,0.497803163,0.490967049,-0.096093074,-0.113315079,-0.057920829
94,Nic Claxton,C,23,20.8,3.1,2.9,9.2,0.380664653,0.177570093,0.736,0.79933936,0.549,1.03,1.453640094,1.767348289,1.558805227,1.446025479,0.504676727,0.504578297,0.485305774,0.217796781,0.214176249,-0.36649942
117,DeMar DeRozan,SF,33,20.6,2,2.6,8.5,0.740181269,0.476635514,0.368,0.944436718,0.488,1.37,1.498443197,1.66985303,1.518507774,1.564997941,0.495860902,0.496115045,0.480832061,-0.289736842,-0.275107813,0.613455876
214,Jrue Holiday,PG,32,19.2,3.1,2.8,6.7,0.583081571,0.691588785,0.408,0.769680111,0.707,3.61,1.41675436,1.485315515,1.449425322,1.524433753,0.498590909,0.497803163,0.516205243,-0.096093074,-0.113315079,0.018144775
283,Zach LaVine,SG,27,19,1.9,2.7,7.1,0.749244713,0.392523364,0.36,0.974235049,0.488,1.37,1.383096639,1.180621837,1.413326922,1.459605488,0.500202381,0.50019914,0.502790262,0.008038095,0.011197132,0.613455876
157,Darius Garland,PG,23,18.8,2.4,2.7,7.6,0.652567976,0.728971963,0.216,0.862482615,0.622,5.23,1.453119198,1.444185746,1.395320409,1.536485897,0.504676727,0.504578297,0.494247042,0.217796781,0.214176249,0.66880962
