Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (RandomForest)
1.0,Precious Achiuwa,C,23.0,15.2,-2.3,-0.1,2.2,0.2779456193353474,0.0841121495327102,0.48,0.4028859527121001,0.5,1.59,-0.07730627378870362,0.05228379603130642
2.0,Steven Adams,C,29.0,17.5,0.6,0.7,3.4,0.2598187311178248,0.2149532710280373,0.92,0.4026425591098748,0.622,3.6,0.5817276817658432,0.3935704455817999
3.0,Bam Adebayo,C,25.0,20.1,1.5,2.3,7.4,0.6163141993957704,0.2990654205607477,0.736,0.914673157162726,0.537,-0.13,1.2890823592157883,1.0618947273385284
4.0,Ochai Agbaji,SG,22.0,9.5,-3.0,-0.3,1.3,0.2386706948640483,0.102803738317757,0.168,0.426808066759388,0.451,-1.03,-0.5330644894992476,-0.27381729943225336
5.0,Santi Aldama,PF,22.0,13.9,0.5,1.1,4.6,0.2719033232628399,0.1214953271028037,0.384,0.5917246175243394,0.622,3.6,0.3827632198634763,0.41081949438510007
6.0,Nickeil Alexander-Walker,SG,24.0,11.3,-1.25,0.0999999999999999,0.55,0.1842900302114803,0.1635514018691588,0.136,0.158240611961057,0.4815,-0.625,-0.5183790311087538,-0.34138723464428317
7.0,Grayson Allen,SG,27.0,12.3,0.1,1.0,5.1,0.3141993957703927,0.2149532710280373,0.264,0.6945062586926287,0.707,3.61,0.4012338126654856,0.44034470269695875
8.0,Jarrett Allen,C,24.0,19.9,2.4,2.4,9.5,0.43202416918429,0.1588785046728972,0.784,0.7825452016689847,0.622,5.23,1.3766967931043075,1.2300993678848005
9.0,Jose Alvarado,PG,24.0,11.8,-1.2,0.3,1.8,0.2719033232628399,0.2803738317757009,0.184,0.4622739916550765,0.512,1.63,-0.12764595303572018,0.15069964744530948
10.0,Kyle Anderson,PF,29.0,14.8,2.5,2.2,5.1,0.283987915407855,0.4579439252336449,0.424,0.6896383866481224,0.512,-0.22,0.6992359324432164,0.7598943992581972
11.0,Giannis Antetokounmpo,PF,28.0,29.0,8.5,5.4,8.6,0.9395770392749244,0.5327102803738318,0.944,0.714221140472879,0.707,3.61,2.6179641287620763,2.3635683522788398
12.0,Thanasis Antetokounmpo,PF,30.0,6.7,-7.6,-0.3,0.1,0.0422960725075528,0.0373831775700934,0.096,0.0728789986091794,0.707,3.61,-1.0059236895379302,-0.6489469013813793
13.0,Cole Anthony,PG,22.0,16.0,1.3,1.3,3.7,0.3927492447129909,0.3644859813084112,0.384,0.5479485396383866,0.415,-2.39,0.41389491283466645,0.46737596389588437
14.0,OG Anunoby,SF,25.0,14.6,0.4,1.5,4.7,0.5075528700906344,0.1869158878504673,0.4,0.841307371349096,0.5,1.59,0.5906831025931012,0.6890195998885948
15.0,Ryan Arcidiacono,PG,28.0,2.6,-9.4,-0.3,-0.1,0.0785498489425981,0.2149532710280373,0.096,0.055702364394993,0.402,-3.96,-1.348991235178818,-0.9964466197556243
16.0,Deni Avdija,SF,22.0,11.2,-2.3,-0.1,2.3,0.2779456193353474,0.2616822429906542,0.512,0.7109179415855355,0.427,-1.06,-0.020925020984987486,0.030605069967216268
17.0,Deandre Ayton,C,24.0,19.9,0.9,1.5,6.2,0.5438066465256798,0.1588785046728972,0.8,0.7174547983310153,0.549,2.08,1.0177197118114625,0.8930347423494716
18.0,Udoka Azubuike,C,23.0,16.1,-0.6,0.1,1.0,0.1057401812688821,0.02803738317757,0.264,0.1276077885952712,0.451,-1.03,-0.42488713925644084,-0.3834528726822889
19.0,Marvin Bagley III,C,23.0,17.2,-0.9,0.3,2.0,0.3625377643504531,0.0841121495327102,0.512,0.3517385257301808,0.207,-7.73,-0.19209910027516794,-0.06667980302940092
20.0,Patrick Baldwin Jr.,SF,20.0,11.3,-2.1,0.0,0.1,0.1178247734138972,0.0373831775700934,0.104,0.0804242002781641,0.537,1.66,-0.6437551713855384,-0.4172858101406006
21.0,LaMelo Ball,PG,21.0,17.9,2.4,1.4,1.8,0.7039274924471299,0.7850467289719627,0.512,0.4524339360222531,0.329,-5.89,0.7378526623518457,0.6452242363874309
22.0,Mo Bamba,C,24.0,16.3,1.3,0.6,2.1,0.2205438066465256,0.102803738317757,0.368,0.2420027816411682,0.415,-2.39,-0.08519176971886494,-0.05336871790739851
23.0,Paolo Banchero,PF,20.0,14.9,-1.5,0.3,2.4,0.6042296072507553,0.3457943925233645,0.552,0.855980528511822,0.415,-2.39,0.4227632661987347,0.4079183896460251
24.0,Desmond Bane,SG,24.0,19.1,3.5,2.5,5.8,0.6495468277945619,0.4112149532710281,0.4,0.650452016689847,0.622,3.6,1.1998723673875666,1.155441414256831
25.0,Dalano Banton,PG,23.0,14.9,-0.5,0.1,0.4,0.1389728096676737,0.1121495327102803,0.12,0.0994436717663421,0.5,1.59,-0.43782618644263027,-0.2612120801956801
26.0,Dominick Barlow,PF,19.0,12.4,-4.6,-0.3,0.7,0.1178247734138972,0.0841121495327102,0.288,0.1462447844228094,0.268,-9.82,-0.8920555455875739,-0.7796751810604208
27.0,Harrison Barnes,PF,30.0,14.1,-1.0,0.7,6.5,0.4531722054380664,0.1495327102803738,0.36,0.9361961057023644,0.585,2.3,0.5198939611070983,0.5215597220529192
28.0,Scottie Barnes,SF,21.0,15.5,0.4,1.6,5.0,0.4622356495468278,0.4485981308411215,0.528,0.9425591098748262,0.5,1.59,0.8708557221179266,0.8706523771871346
29.0,RJ Barrett,SG,22.0,12.9,-3.1,-0.7,2.2,0.5921450151057402,0.2616822429906542,0.4,0.8716620305980529,0.573,2.99,0.22911217440900788,0.2882810862376926
30.0,Will Barton,SG,32.0,9.95,-2.6,-0.05,0.2,0.1842900302114803,0.1635514018691588,0.1759999999999999,0.1776425591098748,0.4635,0.265,-0.6527870804925049,-0.3840659417106737
31.0,Charles Bassey,C,22.0,18.8,0.6,0.3,1.3,0.1722054380664652,0.1214953271028037,0.44,0.1809805285118219,0.268,-9.82,-0.30721897908184675,-0.3701899271584086
32.0,Keita Bates-Diop,PF,27.0,14.9,-0.6,0.5,2.7,0.2930513595166162,0.1401869158878504,0.296,0.5117176634214187,0.268,-9.82,-0.26829571064492563,-0.09788497260528548
33.0,Nicolas Batum,PF,34.0,11.0,0.5,1.0,3.6,0.1842900302114803,0.1495327102803738,0.304,0.6011474269819194,0.537,0.31,0.018657706636544404,0.14869927969990182
34.0,Darius Bazley,C,22.0,12.9,-1.0,0.1,0.9,0.1631419939577039,0.0841121495327102,0.272,0.1976356050069541,0.488,0.96,-0.37795894070782954,-0.2436383111882125
35.0,Bradley Beal,SG,29.0,19.7,1.8,1.6,3.4,0.7009063444108761,0.5046728971962617,0.312,0.592663421418637,0.427,-1.06,0.7407626504009658,0.8376853405035862
36.0,Malik Beasley,SG,26.0,10.6,-2.25,0.05,0.7,0.3700906344410876,0.1355140186915887,0.276,0.3719923504867871,0.4875,-0.3,-0.34026294414366015,-0.10729807819626591
37.0,MarJon Beauchamp,SF,22.0,8.2,-4.8,-0.5,0.4,0.1540785498489426,0.0654205607476635,0.176,0.2477399165507649,0.707,3.61,-0.6299514718009791,-0.41680697397108124
38.0,Dāvis Bertāns,PF,30.0,11.9,-1.2,0.1,0.9,0.1389728096676737,0.0467289719626168,0.096,0.1741655076495132,0.463,-0.14,-0.6183712689205944,-0.37058437254759174
39.0,Patrick Beverley,PG,34.0,10.1,-0.2,0.3,1.2,0.175226586102719,0.3271028037383178,0.392,0.2192280945757997,0.488,1.37,-0.24031253614930193,-0.2087534031858762
