Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (RandomForest)
249,Nikola Jokić,C,27,31.5,13,8.8,14.9,0.740181269,0.91588785,0.944,0.818741307,0.646,3.04,3.60873971,3.284469868
143,Joel Embiid,C,28,31.4,9.2,6.4,12.3,1,0.392523364,0.816,0.805493741,0.659,4.37,2.905893096,2.630865142
125,Luka Dončić,PG,23,28.7,8.9,6.6,10.2,0.978851964,0.747663551,0.688,0.84325452,0.463,-0.14,2.718151568,2.542349801
11,Giannis Antetokounmpo,PF,28,29,8.5,5.4,8.6,0.939577039,0.53271028,0.944,0.71422114,0.707,3.61,2.617964129,2.363568352
164,Shai Gilgeous-Alexander,PG,24,27.2,7.3,5.6,11.4,0.948640483,0.514018692,0.384,0.851703755,0.488,0.96,2.310521796,2.271726643
75,Jimmy Butler,PF,33,27.6,8.7,5.8,12.3,0.6918429,0.495327103,0.472,0.754311544,0.537,-0.13,2.260508167,2.177797619
428,Domantas Sabonis,C,26,23.5,5.8,5.4,12.6,0.577039275,0.682242991,0.984,0.962656467,0.585,2.3,2.493172358,2.126046767
465,Jayson Tatum,SF,24,23.7,5.5,5.1,10.5,0.909365559,0.429906542,0.704,0.962065369,0.695,6.38,2.389898013,2.076685982
292,Damian Lillard,PG,32,26.7,7.1,4.9,9,0.972809668,0.682242991,0.384,0.744541029,0.402,-3.96,1.99117947,1.947842985
338,Donovan Mitchell,SG,26,22.9,6.3,5,8.9,0.854984894,0.411214953,0.344,0.857371349,0.622,5.23,1.984864348,1.9147148
108,Stephen Curry,PG,34,24.1,7.5,4.7,7.8,0.888217523,0.588785047,0.488,0.686265647,0.537,1.66,1.952337158,1.890324638
110,Anthony Davis,C,29,27.8,6.3,4,9,0.782477341,0.242990654,1,0.673157163,0.524,0.43,2.01297969,1.790989504
405,Julius Randle,PF,28,20.3,3.7,3.9,8.1,0.758308157,0.38317757,0.8,0.963317107,0.573,2.99,1.801700062,1.749646485
346,Ja Morant,PG,23,23.3,5.7,3.8,6,0.791540785,0.757009346,0.472,0.687726008,0.622,3.6,1.839497577,1.743796432
186,Tyrese Haliburton,PG,22,23.6,7.2,4.4,7.6,0.625377644,0.971962617,0.296,0.665716273,0.427,-2.91,1.77234573,1.717379648
239,LeBron James,PF,38,23.9,6.1,4,5.6,0.873111782,0.635514019,0.664,0.691063978,0.524,0.43,1.768834794,1.709190762
190,James Harden,PG,33,21.6,5.4,4,8.4,0.634441088,1,0.488,0.754450626,0.659,4.37,1.968150172,1.708547022
536,Trae Young,PG,24,22,3.3,3.4,6.7,0.791540785,0.953271028,0.24,0.894923505,0.5,0.32,1.637567512,1.625099086
