Player,Trade Value_2022,Trade Value_2023,Difference_TV,WLp_2022,WLp_2023,Difference_WLp,SRS_2022,SRS_2023,Difference_SRS
Kevin Durant,2.349493782,1.368488975,-0.9810048070000001,0.549,0.549,0.0,1.03,1.555,0.5249999999999999
Dejounte Murray,2.210882952,1.137044296,-1.073838656,0.268,0.5,0.23199999999999998,-9.82,0.32,10.14
Donovan Mitchell,1.878379023,2.08413035,0.2057513270000002,0.451,0.622,0.17099999999999999,-1.03,5.23,6.260000000000001
Rudy Gobert,2.129653326,1.070736184,-1.058917142,0.451,0.512,0.061,-1.03,-0.22,0.81
Mikal Bridges,1.387534092,0.763623852,-0.6239102400000001,0.549,0.549,0.0,2.08,1.03,-1.05
Mikal Bridges,1.387534092,0.695209429,-0.6923246630000001,0.549,0.549,0.0,2.08,2.08,0.0
Mike Conley,1.015091646,0.265446225,-0.7496454209999999,0.451,0.4815,0.03049999999999997,-1.03,-0.625,0.405
Jakob Poeltl,1.052887397,0.675903679,-0.37698371799999986,0.268,0.384,0.11599999999999999,-9.82,-4.115,5.705
D'Angelo Russell,0.834359851,0.534154881,-0.30020497,0.512,0.518,0.006000000000000005,-0.22,0.105,0.325
Saddiq Bey,0.561623287,0.053676466,-0.507946821,0.207,0.3535,0.1465,-7.73,-3.705,4.025
Dorian Finney-Smith,0.701759381,-0.449535633,-1.151295014,0.463,0.506,0.04299999999999998,-0.14,0.445,0.585
Cameron Johnson,0.668788807,0.227130121,-0.441658686,0.549,0.549,0.0,2.08,1.555,-0.5250000000000001
Monte Morris,0.603355019,0.443502211,-0.159852808,0.646,0.427,-0.21900000000000003,3.04,-1.06,-4.1
Kyrie Irving,0.779832961,1.253859987,0.474027026,0.549,0.549,0.0,1.03,1.03,0.0
Kyrie Irving,0.779832961,1.12839086,0.3485578990000001,0.549,0.463,-0.08600000000000002,1.03,-0.14,-1.17
Mo Bamba,0.397231167,-0.012380819,-0.409611986,0.415,0.415,0.0,-2.39,-2.39,0.0
Patrick Beverley,0.257195294,-0.437880061,-0.695075355,0.512,0.524,0.01200000000000001,-0.22,0.43,0.65
Patrick Beverley,0.257195294,-0.29038292,-0.5475782140000001,0.512,0.488,-0.02400000000000002,-0.22,1.37,1.59
Royce O'Neale,0.384829308,0.129584917,-0.25524439099999996,0.451,0.549,0.09800000000000003,-1.03,1.03,2.06
Malcolm Brogdon,0.420664275,0.871185682,0.45052140700000004,0.427,0.695,0.26799999999999996,-2.91,6.38,9.29
Russell Westbrook,0.107422995,0.429883346,0.32246035100000003,0.524,0.5305,0.00649999999999995,0.43,0.37,-0.06
Jarred Vanderbilt,0.511778004,0.198353188,-0.31342481599999994,0.512,0.4875,-0.024500000000000022,-0.22,-0.3,-0.07999999999999999
Will Barton,0.122854694,-0.726342259,-0.8491969530000001,0.646,0.4635,-0.1825,3.04,0.265,-2.775
Lauri Markkanen,0.454836455,1.712788188,1.257951733,0.622,0.451,-0.17099999999999999,5.23,-1.03,-6.260000000000001
Luke Kennard,0.308611004,-0.194623016,-0.5032340200000001,0.537,0.5795,0.04249999999999998,0.31,1.955,1.645
Jae Crowder,0.085286094,-0.267574095,-0.35286018900000005,0.549,0.707,0.15799999999999992,2.08,3.61,1.5299999999999998
Kentavious Caldwell-Pope,-0.135143371,0.148431339,0.28357471,0.427,0.646,0.21900000000000003,-1.06,3.04,4.1
Devonte' Graham,0.009286169,-0.259189736,-0.268475905,0.512,0.39,-0.122,1.63,-4.095,-5.725
Malik Beasley,-0.087657001,-0.379356615,-0.291699614,0.512,0.4875,-0.024500000000000022,-0.22,-0.3,-0.07999999999999999
